Metabolite_name	Emperical.Formula	ionization_form	Column	RT_min	m.z	KEGG_ID
Glycine	C2H5NO2	[M+H]	HILIC	11.51	76.039854	cpd:C00037
Alanine	C3H7NO2	[M+H]	HILIC	11.3	90.055504	cpd:C00041
Arginine	C6H14N4O2	[M+H]	HILIC	17.93	175.119501	cpd:C00062
Asparagine	C4H8N2O3	[M+H]	HILIC	11.86	133.061318	cpd:C00152
Aspartic acid	C4H7NO4	[M+H]	HILIC	12.86	134.045334	cpd:C00049
Cystine	C6H12N2O4S2	[M+H]	HILIC	13.1	241.031677	cpd:C00491
Glutamic acid	C5H9NO4	[M+H]	HILIC	12.41	148.060984	cpd:C00025
Glutamine	C5H10N2O3	[M+H]	HILIC	11.7	147.076968	cpd:C00064
Histidine	C6H9N3O2	[M+H]	HILIC	11.45	156.077302	cpd:C00135
Isoleucine	C6H13NO2	[M+H]	HILIC	8.17	132.102454	cpd:C00407
Leucine	C6H13NO2	[M+H]	HILIC	7.63	132.102454	cpd:C00123
Lysine	C6H14N2O2	[M+H]	HILIC	17.5	147.113353	cpd:C00047
Methionine	C5H11NO2S	[M+H]	HILIC	7.96	150.058876	cpd:C00073
Proline	C5H9NO2	[M+H]	HILIC	9.49	116.071154	cpd:C00148
Serine	C3H7NO3	[M+H]	HILIC	11.86	106.050419	cpd:C00065
Threonine	C4H9NO3	[M+H]	HILIC	10.92	120.066069	cpd:C00188
Tyrosine	C9H11NO3	[M+H]	HILIC	9.76	182.081719	cpd:C00082
Valine	C5H11NO2	[M+H]	HILIC	9.09	118.086804	cpd:C00183
trans Hydroxyl proline	C5H9NO3	[M+H]	HILIC	10.07	132.066069	cpd:C01157
Hydroxylysine	C6H14N2O3	[M+H]	HILIC	16.37	163.108268	cpd:C16741
Aminobutyric Acid	C4H9NO2	[M+H]	HILIC	11.155	104.071154	cpd:C00334
Dimethyl Glycine	C4H9NO2	[M+H]	HILIC	8.97	104.071154	cpd:C01026
Betaine	C5H11NO2	[M+H]	HILIC	7.86	118.086804	cpd:C00719
Cystathionine	C7H14N2O4S	[M+H]	HILIC	13.14	223.075255	cpd:C02291
Adenosyl Homocysteine	C14H20N6O5S	[M+H]	HILIC	10.85	385.129416	cpd:C00021
