Metabolite_name	Emperical.Formula	ionization_form	Column	RT_min	m.z	KEGG_ID
Kynurenine	C10H12N2O3	[M+H]	RP	1.27	209.092618	cpd:C00328
Phenylalanine	C9H11NO2	[M+H]	RP	1.15	166.086804	cpd:C00079
Tryptophan	C11H12N2O2	[M+H]	RP	2.07	205.097703	cpd:C00078
Tyrosine	C9H11NO3	[M+H]	RP	1.01	182.081719	cpd:C00082
Dimethyl glycine	C4H9NO2	[M+H]	RP	0.69	104.071154	cpd:C01026
Betaine	C5H11NO2	[M+H]	RP	0.71	118.086804	cpd:C00719
Adenosyl Homocysteine	C14H20N6O5S	[M+H]	RP	0.96	385.129416	cpd:C00021
Adenosyl Methionine	C15H22N6O5S	[M+H]	RP	0.71	399.145066	cpd:C00019
Glutathione	C10H17N3O6S	[M+H]	RP	0.87	308.091634	cpd:C00051
Syringaldehyde	C9H10O4	[M+H]	RP	5.48	183.065735	NA
Vanillin	C8H8O3	[M+H]	RP	4.69	153.05517	cpd:C00755
Butyryl-L-carnitine	C11H21NO4	[M+H]	RP	1.34	232.154884	NA
Decarboxylated S-Adenosylmethionine	C14H23N6O3S	[M]	RP	0.68	355.155236	NA
Isobutyryl-L-carnitine	C11H21NO4	[M+H]	RP	1.3	232.154884	NA
Acetyl-L-carnitine	C9H17NO4	[M+H]	RP	0.82	204.123584	cpd:C02571
Propionyl-L-carnitine	C10H19NO4	[M+H]	RP	0.99	218.139234	cpd:C03017
3-Indoleacetonitrile	C10H8N2	[M+H]	RP	7.09	157.076573	cpd:C02938
3 Indolepropionic Acid	C11H11NO2	[M+H]	RP	6.66	190.08626	NA
Camalexin	C11H8N2S	[M+H]	RP	6.96	201.048645	NA
Indole 3 methyl acetate	C11H11NO2	[M+H]	RP	7.31	190.086804	cpd:C20635
Indole 3 Lactic Acid	C11H11NO3	[M+H]	RP	4.65	206.081719	cpd:C02043
Caffeine	C8H10N4O2	[M+H]	RP	3.85	195.088201	cpd:C07481
Xanthine	C5H4N4O2	[M+H]	RP	1.11	153.041251	cpd:C00385
3OC10-HSL	C14H23NO4	[M+H]	RP	8.255	270.170534	NA
C4-HSL	C8H13NO3	[M+H]	RP	1.47	172.097369	cpd:C11837
Glutathione Disulfide	C20H32N6O12S2	[M+H]	RP	0.92	613.159793	cpd:C00127
Methylthioadenosine	C11H15N5O3S	[M+H]	RP	2.1	298.097387	cpd:C00170
Domoic Acid	C15H21NO6	[M+H]	RP	2.72	312.144714	cpd:C13732
Sulfurol	C6H9NOS	[M+H]	RP	1	144.048311	cpd:C04294
Desthiobiotin	C10H18N2O3	[M+H]	RP	4.5	215.139568	cpd:C01909
Vitamin B9	C19H19N7O6	[M+H]	RP	4.51	442.147508	cpd:C00504
Vitamin B3	C6H5NO2	[M+H]	RP	0.88	124.039854	cpd:C00253
Vitamin B5	C9H17NO5	[M+H]	RP	1.17	220.118498	cpd:C00864
Pyridoxal Phosphate	C8H10NO6P	[M+H]	RP	0.78	248.032402	cpd:C00018
Pyridoxamine	C8H12N2O2	[M+H]	RP	0.65	169.097703	cpd:C00534
Vitamin B6	C8H11NO3	[M+H]	RP	0.88	170.081719	cpd:C00314
Thiamine monophosphate	C12H18N4O4PS	[M]	RP	0.67	345.078641	cpd:C01081
Choline	C5H14NO	[M]	RP	0.69	104.107539	cpd:C00114
