MF	Aloha_A	Aloha_B	Aloha_C	NP_A	NP_B	NP_C	PS_A	PS_B	PS_C	TruePoo_Full1	TruePoo_Full2	TruePoo_Full3	TruePoo_Half1	TruePoo_Half2	TruePoo_Half3	LW_A	LW_B	LW_C	PPL_Aloha_A	PPL_Aloha_B	PPL_Aloha_C	PPL_PS_A	PPL_PS_B	PPL_PS_C
(3-Carboxypropyl)trimethylammonium (TMAB)	923077	786690	857221	563234	534058	719264	1802639	2163733	1867806	92533184	100536680	98479808	85869456	101739176	93118728	NA	NA	NA	NA	NA	NA	NA	NA	NA
4-Hydroxyisoleucine	817494.6024049033	934565.284172658	1209032.70306742	NA	NA	NA	716529.9228489447	249826.1546862773	474788.2370525325	5833898.651166287	5437889.565421032	5909376.925189803	4427130.865944797	5537350.845713037	6269549.201966568	2620344.743754705	1555153.3511377373	1662899.4966582996	NA	NA	NA	NA	NA	NA
5-Methylcytosine	NA	NA	NA	NA	NA	NA	NA	NA	NA	58489864	62346292	63613780	57097900	63228220	65095056	389502	503177	534559	NA	NA	NA	NA	NA	NA
6-Methyladenine	NA	NA	NA	NA	NA	NA	199084	147242	283401	84493592	90392080	95696648	82102632	91874560	93012952	239109	311823	668560	247266	282884	283536	417820	567269	838311
Acetyl-L-carnitine	1846661	1421521	1535400	147809	73048	77010	NA	NA	NA	108401456	109626384	107246568	101561776	113863816	106604608	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acetylcholine	NA	NA	NA	NA	NA	NA	NA	NA	NA	25161706	26444346	23080344	22823404	27965752	23167868	188816	76709	62081	NA	NA	NA	NA	NA	NA
Acetylglutamic acid	NA	NA	NA	NA	NA	NA	NA	NA	NA	848939	966831	900651	789382	949428	359200	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adenine	NA	NA	NA	NA	NA	NA	NA	NA	NA	168892722.05553347	175441612.3702458	177605734.43397778	174133354.04591283	179688893.46646017	177228542.77267602	4991580.785994388	7103718.543030431	10722982.323412089	2335590.075351232	1941088.038883286	1687647.1289280546	4902608.422356063	2345691.6878244136	5477442.780080683
Adenosine	NA	NA	NA	NA	NA	NA	NA	NA	NA	53440145.12283897	53795500.45339975	59817455.41376503	55679160.17833493	57853724.35323164	57468265.49659587	3145363.8468575072	4666103.384880032	5633273.202539015	271498.5759796971	204476.0160322519	223984.990037131	1429975.9380539523	1371219.074679393	1605774.9863330182
Adenosyl Homocysteine	NA	NA	NA	NA	NA	NA	NA	NA	NA	8345872.840397275	7956935.423392386	7942396.270527565	8633666.313944079	7656910.759882327	8813643.850811414	NA	NA	NA	NA	NA	NA	NA	NA	NA
