MF,FinalBMIS,Orig_RSD,FinalRSD,SampID,runDate,type,samp,replicate,Area,Adjusted_Area
1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,"Pyridoxal, D3",0.4612869628745054,0.29862052618481183,210329_Poo_TruePoo_Full1,210329,Poo,TruePoo,Full1,1991,1996.987232094746
1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,"Pyridoxal, D3",0.4612869628745054,0.29862052618481183,210329_Poo_TruePoo_Full2,210329,Poo,TruePoo,Full2,NA,NA
1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,"Pyridoxal, D3",0.4612869628745054,0.29862052618481183,210329_Poo_TruePoo_Full3,210329,Poo,TruePoo,Full3,1763,1828.5225413689186
1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,"Pyridoxal, D3",0.4612869628745054,0.29862052618481183,210329_Poo_TruePoo_Half1,210329,Poo,TruePoo,Half1,NA,NA
1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,"Pyridoxal, D3",0.4612869628745054,0.29862052618481183,210329_Poo_TruePoo_Half2,210329,Poo,TruePoo,Half2,NA,NA
1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,"Pyridoxal, D3",0.4612869628745054,0.29862052618481183,210329_Poo_TruePoo_Half3,210329,Poo,TruePoo,Half3,1954,3097.368720509785
1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,"Pyridoxal, D3",0.4612869628745054,0.29862052618481183,210329_Smp_Aloha_A,210329,Smp,Aloha,A,4025,4302.298628759607
1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,"Pyridoxal, D3",0.4612869628745054,0.29862052618481183,210329_Smp_Aloha_B,210329,Smp,Aloha,B,2169,2319.2818230737203
1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,"Pyridoxal, D3",0.4612869628745054,0.29862052618481183,210329_Smp_Aloha_C,210329,Smp,Aloha,C,NA,NA
1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,"Pyridoxal, D3",0.4612869628745054,0.29862052618481183,210329_Smp_Mort_Test_A,210329,Smp,Mort,Test,NA,NA
1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,"Pyridoxal, D3",0.4612869628745054,0.29862052618481183,210329_Smp_Mort_Test_B,210329,Smp,Mort,Test,NA,NA
1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,"Pyridoxal, D3",0.4612869628745054,0.29862052618481183,210329_Smp_PS_A,210329,Smp,PS,A,NA,NA
1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,"Pyridoxal, D3",0.4612869628745054,0.29862052618481183,210329_Smp_PS_B,210329,Smp,PS,B,2285,2006.408284485569
1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,"Pyridoxal, D3",0.4612869628745054,0.29862052618481183,210329_Smp_PS_C,210329,Smp,PS,C,NA,NA
1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,"Pyridoxal, D3",0.22362135156496046,0.06815177668860184,210329_Poo_TruePoo_Full1,210329,Poo,TruePoo,Full1,1930,1935.803796053672
1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,"Pyridoxal, D3",0.22362135156496046,0.06815177668860184,210329_Poo_TruePoo_Full2,210329,Poo,TruePoo,Full2,NA,NA
1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,"Pyridoxal, D3",0.22362135156496046,0.06815177668860184,210329_Poo_TruePoo_Full3,210329,Poo,TruePoo,Full3,NA,NA
1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,"Pyridoxal, D3",0.22362135156496046,0.06815177668860184,210329_Poo_TruePoo_Half1,210329,Poo,TruePoo,Half1,1449,2218.6782588981705
1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,"Pyridoxal, D3",0.22362135156496046,0.06815177668860184,210329_Poo_TruePoo_Half2,210329,Poo,TruePoo,Half2,1486,2101.1969985941687
1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,"Pyridoxal, D3",0.22362135156496046,0.06815177668860184,210329_Poo_TruePoo_Half3,210329,Poo,TruePoo,Half3,NA,NA
1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,"Pyridoxal, D3",0.22362135156496046,0.06815177668860184,210329_Smp_Aloha_A,210329,Smp,Aloha,A,2023,2162.3727021070026
1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,"Pyridoxal, D3",0.22362135156496046,0.06815177668860184,210329_Smp_Aloha_B,210329,Smp,Aloha,B,1490,1593.236475970421
1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,"Pyridoxal, D3",0.22362135156496046,0.06815177668860184,210329_Smp_Aloha_C,210329,Smp,Aloha,C,2902,2809.2768193153934
1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,"Pyridoxal, D3",0.22362135156496046,0.06815177668860184,210329_Smp_Mort_Test_A,210329,Smp,Mort,Test,1919,1525.7689935102417
1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,"Pyridoxal, D3",0.22362135156496046,0.06815177668860184,210329_Smp_Mort_Test_B,210329,Smp,Mort,Test,NA,NA
1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,"Pyridoxal, D3",0.22362135156496046,0.06815177668860184,210329_Smp_PS_A,210329,Smp,PS,A,1463,1195.7141214246751
1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,"Pyridoxal, D3",0.22362135156496046,0.06815177668860184,210329_Smp_PS_B,210329,Smp,PS,B,NA,NA
1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,"Pyridoxal, D3",0.22362135156496046,0.06815177668860184,210329_Smp_PS_C,210329,Smp,PS,C,NA,NA
