Rep,Compound,Area,Background,Mass.Error.PPM,SN,SNFlag,ppmFlag,areaminFlag
210329_Std_250nMStdsInH2O_1,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,675935,0,-0.1,Inf,NA,NA,NA
210329_Std_250nMStdsInH2O_2,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,87576,0,0.1,Inf,NA,NA,NA
210329_Std_250nMStdsInMatrix_1,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,1268660,0,0.1,Inf,NA,NA,NA
210329_Std_250nMStdsInMatrix_2,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,760144,0,-0.1,Inf,NA,NA,NA
210329_Std_H2OInMatrix_1,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,3023,0,-6,Inf,NA,NA,areaminFlag
210329_Std_H2OInMatrix_2,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,NA,NA,NA,NA,NA,NA,NA
210329_Blk_Blank1_A,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,NA,NA,NA,NA,NA,NA,NA
210329_Blk_Blank1_B,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,NA,NA,NA,NA,NA,NA,NA
210329_Blk_Blank1_C,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,2191,0,7.3,Inf,NA,ppmFlag,areaminFlag
210329_Blk_Blank2_A,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,NA,NA,NA,NA,NA,NA,NA
210329_Blk_Blank2_B,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,NA,NA,NA,NA,NA,NA,NA
210329_Blk_Blank2_C,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,2110,0,-2,Inf,NA,NA,areaminFlag
210329_Blk_Blank3_A,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,NA,NA,NA,NA,NA,NA,NA
210329_Blk_Blank3_B,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,NA,NA,NA,NA,NA,NA,NA
210329_Blk_Blank3_C,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,NA,NA,NA,NA,NA,NA,NA
