MF,FinalBMIS,Orig_RSD,FinalRSD,SampID,runDate,type,samp,replicate,Area,Adjusted_Area,Blk.QC,Rep,Background,Mass.Error.PPM,SN,SNFlag,ppmFlag,areaminFlag
(3-Carboxypropyl)trimethylammonium (TMAB)_Pos,Inj_vol,0.06296029448209116,0.06296029448209116,210322_Smp_Aloha_A,210322,Smp,Aloha,A,923077,923077,ok,210322_Smp_Aloha_A,271226,-3,3.4033499738225688,NA,NA,NA
(3-Carboxypropyl)trimethylammonium (TMAB)_Pos,Inj_vol,0.06296029448209116,0.06296029448209116,210322_Smp_Aloha_B,210322,Smp,Aloha,B,786690,786690,ok,210322_Smp_Aloha_B,417164,-2.6,1.8858051030290246,NA,NA,NA
(3-Carboxypropyl)trimethylammonium (TMAB)_Pos,Inj_vol,0.06296029448209116,0.06296029448209116,210322_Smp_Aloha_C,210322,Smp,Aloha,C,857221,857221,ok,210322_Smp_Aloha_C,375977,-2.6,2.279982552124199,NA,NA,NA
(3-Carboxypropyl)trimethylammonium (TMAB)_Pos,Inj_vol,0.06296029448209116,0.06296029448209116,210322_Smp_NP_A,210322,Smp,NP,A,563234,563234,ok,210322_Smp_NP_A,274474,-2.9,2.05204864577337,NA,NA,NA
(3-Carboxypropyl)trimethylammonium (TMAB)_Pos,Inj_vol,0.06296029448209116,0.06296029448209116,210322_Smp_NP_B,210322,Smp,NP,B,534058,534058,ok,210322_Smp_NP_B,280141,-3.1,1.9063899964660653,NA,NA,NA
(3-Carboxypropyl)trimethylammonium (TMAB)_Pos,Inj_vol,0.06296029448209116,0.06296029448209116,210322_Smp_NP_C,210322,Smp,NP,C,719264,719264,ok,210322_Smp_NP_C,57101,-3.4,12.596346824048616,NA,NA,NA
(3-Carboxypropyl)trimethylammonium (TMAB)_Pos,Inj_vol,0.06296029448209116,0.06296029448209116,210322_Smp_PS_A,210322,Smp,PS,A,1802639,1802639,ok,210322_Smp_PS_A,540676,-2.5,3.334046637912539,NA,NA,NA
(3-Carboxypropyl)trimethylammonium (TMAB)_Pos,Inj_vol,0.06296029448209116,0.06296029448209116,210322_Smp_PS_B,210322,Smp,PS,B,2163733,2163733,ok,210322_Smp_PS_B,508697,-3,4.253480952315425,NA,NA,NA
(3-Carboxypropyl)trimethylammonium (TMAB)_Pos,Inj_vol,0.06296029448209116,0.06296029448209116,210322_Smp_PS_C,210322,Smp,PS,C,1867806,1867806,ok,210322_Smp_PS_C,364877,-3.7,5.119001745793788,NA,NA,NA
(3-Carboxypropyl)trimethylammonium (TMAB)_Pos,Inj_vol,0.06296029448209116,0.06296029448209116,210322_Poo_TruePoo_Full1,210322,Poo,TruePoo,Full1,92533184,92533184,ok,210322_Poo_TruePoo_Full1,1207231,-2.4,76.64911189324992,NA,NA,NA
(3-Carboxypropyl)trimethylammonium (TMAB)_Pos,Inj_vol,0.06296029448209116,0.06296029448209116,210322_Poo_TruePoo_Full2,210322,Poo,TruePoo,Full2,100536680,100536680,ok,210322_Poo_TruePoo_Full2,2238321,-3.5,44.916113461831436,NA,NA,NA
