Rep,Compound,Area
210322_Blk_Blank1_A,"DL-Alanine, D3",NA
210322_Blk_Blank1_B,"DL-Alanine, D3",NA
210322_Blk_Blank1_C,"DL-Alanine, D3",3208
210322_Blk_Blank2_A,"DL-Alanine, D3",3784
210322_Blk_Blank2_B,"DL-Alanine, D3",NA
210322_Blk_Blank2_C,"DL-Alanine, D3",NA
210322_Blk_Blank3_A,"DL-Alanine, D3",NA
210322_Blk_Blank3_B,"DL-Alanine, D3",NA
210322_Blk_Blank3_C,"DL-Alanine, D3",NA
210322_Blk_Blank4_A,"DL-Alanine, D3",NA
210322_Blk_Blank4_B,"DL-Alanine, D3",NA
210322_Blk_Blank4_C,"DL-Alanine, D3",8021
210322_Blk_Blank5_A,"DL-Alanine, D3",NA
210322_Blk_Blank5_B,"DL-Alanine, D3",5395
210322_Blk_Blank5_C,"DL-Alanine, D3",NA
210322_Smp_Aloha_A,"DL-Alanine, D3",22483824
210322_Smp_Aloha_B,"DL-Alanine, D3",20430968
210322_Smp_Aloha_C,"DL-Alanine, D3",16745312
210322_Smp_LW_A,"DL-Alanine, D3",18448834
210322_Smp_LW_B,"DL-Alanine, D3",23182984
210322_Smp_LW_C,"DL-Alanine, D3",21987336
210322_Smp_NP_A,"DL-Alanine, D3",17757716
210322_Smp_NP_B,"DL-Alanine, D3",22773030
210322_Smp_NP_C,"DL-Alanine, D3",23597782
210322_Smp_PS_A,"DL-Alanine, D3",20595442
210322_Smp_PS_B,"DL-Alanine, D3",21746064
210322_Smp_PS_C,"DL-Alanine, D3",21234172
210322_Blk_Blank1_A,"DL-Histidine, 15N",4005
210322_Blk_Blank1_B,"DL-Histidine, 15N",9271
210322_Blk_Blank1_C,"DL-Histidine, 15N",3952
210322_Blk_Blank2_A,"DL-Histidine, 15N",32996
210322_Blk_Blank2_B,"DL-Histidine, 15N",11545
210322_Blk_Blank2_C,"DL-Histidine, 15N",186555
210322_Blk_Blank3_A,"DL-Histidine, 15N",5478
210322_Blk_Blank3_B,"DL-Histidine, 15N",71825
210322_Blk_Blank3_C,"DL-Histidine, 15N",705712
210322_Blk_Blank4_A,"DL-Histidine, 15N",12644
210322_Blk_Blank4_B,"DL-Histidine, 15N",95831
210322_Blk_Blank4_C,"DL-Histidine, 15N",602380
210322_Blk_Blank5_A,"DL-Histidine, 15N",3522
210322_Blk_Blank5_B,"DL-Histidine, 15N",5111
210322_Blk_Blank5_C,"DL-Histidine, 15N",16301
210322_Smp_Aloha_A,"DL-Histidine, 15N",15371668
210322_Smp_Aloha_B,"DL-Histidine, 15N",10493623
210322_Smp_Aloha_C,"DL-Histidine, 15N",25453540
210322_Smp_LW_A,"DL-Histidine, 15N",17815206
210322_Smp_LW_B,"DL-Histidine, 15N",15645775
210322_Smp_LW_C,"DL-Histidine, 15N",15174423
210322_Smp_NP_A,"DL-Histidine, 15N",14824777
210322_Smp_NP_B,"DL-Histidine, 15N",12011494
210322_Smp_NP_C,"DL-Histidine, 15N",42934336
210322_Smp_PS_A,"DL-Histidine, 15N",35867756
210322_Smp_PS_B,"DL-Histidine, 15N",35236300
210322_Smp_PS_C,"DL-Histidine, 15N",35277300
210322_Blk_Blank1_A,"DL-Proline, D7",NA
210322_Blk_Blank1_B,"DL-Proline, D7",NA
210322_Blk_Blank1_C,"DL-Proline, D7",NA
210322_Blk_Blank2_A,"DL-Proline, D7",4905
210322_Blk_Blank2_B,"DL-Proline, D7",NA
210322_Blk_Blank2_C,"DL-Proline, D7",NA
210322_Blk_Blank3_A,"DL-Proline, D7",NA
210322_Blk_Blank3_B,"DL-Proline, D7",NA
210322_Blk_Blank3_C,"DL-Proline, D7",NA
210322_Blk_Blank4_A,"DL-Proline, D7",NA
210322_Blk_Blank4_B,"DL-Proline, D7",NA
210322_Blk_Blank4_C,"DL-Proline, D7",NA
210322_Blk_Blank5_A,"DL-Proline, D7",NA
210322_Blk_Blank5_B,"DL-Proline, D7",NA
210322_Blk_Blank5_C,"DL-Proline, D7",NA
210322_Smp_Aloha_A,"DL-Proline, D7",40912200
210322_Smp_Aloha_B,"DL-Proline, D7",35618412
210322_Smp_Aloha_C,"DL-Proline, D7",27707158
210322_Smp_LW_A,"DL-Proline, D7",19265080
210322_Smp_LW_B,"DL-Proline, D7",28270630
210322_Smp_LW_C,"DL-Proline, D7",31334784
210322_Smp_NP_A,"DL-Proline, D7",25999562
210322_Smp_NP_B,"DL-Proline, D7",39917620
210322_Smp_NP_C,"DL-Proline, D7",38635032
210322_Smp_PS_A,"DL-Proline, D7",33882172
210322_Smp_PS_B,"DL-Proline, D7",36877464
210322_Smp_PS_C,"DL-Proline, D7",30932574
210322_Blk_Blank1_A,"DL-Valine, D8",NA
210322_Blk_Blank1_B,"DL-Valine, D8",NA
210322_Blk_Blank1_C,"DL-Valine, D8",NA
210322_Blk_Blank2_A,"DL-Valine, D8",NA
210322_Blk_Blank2_B,"DL-Valine, D8",NA
210322_Blk_Blank2_C,"DL-Valine, D8",NA
210322_Blk_Blank3_A,"DL-Valine, D8",NA
210322_Blk_Blank3_B,"DL-Valine, D8",NA
