Compound,210322_Blk_Blank1_A,210322_Blk_Blank1_B,210322_Blk_Blank1_C,210322_Blk_Blank2_A,210322_Blk_Blank2_B,210322_Blk_Blank2_C,210322_Blk_Blank3_A,210322_Blk_Blank3_B,210322_Blk_Blank3_C,210322_Blk_Blank4_A,210322_Blk_Blank4_B,210322_Blk_Blank4_C,210322_Blk_Blank5_A,210322_Blk_Blank5_B,210322_Blk_Blank5_C,210322_Smp_Aloha_A,210322_Smp_Aloha_B,210322_Smp_Aloha_C,210322_Smp_LW_A,210322_Smp_LW_B,210322_Smp_LW_C,210322_Smp_NP_A,210322_Smp_NP_B,210322_Smp_NP_C,210322_Smp_PS_A,210322_Smp_PS_B,210322_Smp_PS_C,210322_Blk_Blank6_A,210322_Blk_Blank6_B,210322_Blk_Blank6_C,210322_Blk_Blank7_A,210322_Blk_Blank7_B,210322_Blk_Blank7_C,210322_Smp_C_1mL_NS_A,210322_Smp_C_1mL_NS_B,210322_Smp_C_1mL_NS_C,210322_Smp_C_1mL_SAf_A,210322_Smp_C_1mL_SAf_B,210322_Smp_C_1mL_SAf_C,210322_Smp_C_1mL_SBe_A,210322_Smp_C_1mL_SBe_B,210322_Smp_C_1mL_SBe_C,210322_Blk_PPL_Blank_A,210322_Blk_PPL_Blank_B,210322_Blk_PPL_Blank_C,210322_Smp_PPL_Aloha_A,210322_Smp_PPL_Aloha_B,210322_Smp_PPL_Aloha_C,210322_Smp_PPL_PS_A,210322_Smp_PPL_PS_B,210322_Smp_PPL_PS_C,210322_Poo_TruePoo_Full1,210322_Poo_TruePoo_Full2,210322_Poo_TruePoo_Full3,210322_Poo_TruePoo_Half1,210322_Poo_TruePoo_Half2,210322_Poo_TruePoo_Half3,210322_Std_4uMStdsMix1InH2O_1,210322_Std_4uMStdsMix1InH2O_2,210322_Std_4uMStdsMix1InMatrix_1,210322_Std_4uMStdsMix1InMatrix_2,210322_Std_4uMStdsMix2InH2O_1,210322_Std_4uMStdsMix2InH2O_2,210322_Std_4uMStdsMix2InMatrix_1,210322_Std_4uMStdsMix2InMatrix_2,210322_Std_H2OInMatrix_1,210322_Std_H2OInMatrix_2
Acetyl-L-carnitine_Pos,79161,90199,34842,12830,29460,44520,38340,47213,18434,43084,5314,56497,76382,50106,27136,1846661,1421521,1535400,193103,43330,56154,147809,73048,77010,56903,43656,350717,292822,61621,217498,103283,362189,380401,158179,996321,216617,1475869056,1524323584,1536865280,11539864,12631536,26058028,108900,383988,211692,2203895,1712943,2448135,290479,258816,72856,108401456,109626384,107246568,50780888,56931908,53302304,2507900672,2700589056,2470935296,2730703616,1087256,1112423,60475880,57799616,54937304,61698340
Adenine_Pos,2141478,3922799,2206681,1591407,1607938,1529376,270160,1014269,8987701,1790041,2415318,2470391,1910920,2115050,5827449,3203404,2703762,3416961,5628096,10064902,14409293,1718641,2404382,4007826,3322294,3939329,4319706,776971,645822,682271,78490768,117048984,236661488,800739,1880424,1897409,683476992,762431488,820042048,655805440,739880384,592290432,1304269,1354927,1008995,4264655,3439271,3244930,5266834,2792140,6696522,85083600,107481920,119312504,41956028,53880264,58826268,1018679360,1239655168,1170981760,1486819200,74796552,121602640,125891792,225363152,48901424,68498776
Adenosine_Pos,0,0,0,0,0,13643,6858,6200,0,0,14111,0,459883,758740,994501,6873,14512,0,2593345,5758907,7721479,0,24512,0,143937,144733,183440,101695,96375,221970,17635660,21772100,32587900,355438,1060404,1045860,491952704,539341824,532864672,85397456,89610128,75210096,7065,15664,0,495741,362296,430668,1536212,1632199,1963162,30794498,40842684,52404300,14670981,20301484,26310112,0,0,17996128,26861730,677542848,966487232,679550656,1199261184,17849224,30643976
Adenosyl Homocysteine_Pos,0,0,0,5817,0,0,5515,0,0,0,5125,0,6868,0,0,0,6578,0,0,0,0,0,0,0,0,0,0,6057,6310,0,281163,255043,758902,0,6294,0,105691584,112354440,111748424,5677910,2939984,3045661,0,0,0,0,0,5938,10116,0,0,4809249,6041074,6958098,2274897,2686891,4035061,151310736,220126512,144874768,229595216,6676,6057,3792542,5167861,2935077,4314152
Adenosyl Methionine_Pos,12851,33292,5842,3388,7198,0,11335,5389,0,0,0,0,0,0,0,12868,6728,0,0,0,0,3465,11846,0,0,0,0,0,0,0,129344,28173,14139,0,0,0,10951826,15910008,25914822,0,6399,0,0,0,0,39755,31066,37931,15431,14060,20008,731725,560443,616097,229274,100598,170852,46239104,65895272,45635656,69834752,1410020,2233174,2388580,3434512,46583,290427
Alanine_Pos,979805,1092964,1107780,1095333,1606922,1560987,768230,738899,1120212,788392,1766616,2632900,1000172,1345724,635802,6661625,7622351,5201822,3278618,4587132,3867082,996464,1388259,1114945,2996167,2643994,3450498,789356,674468,904586,2093475,1631874,1489836,532308,1044047,893694,17677018,18178308,17334138,20673116,19340138,20818904,140304,41794,215279,269910,243877,34109,52154,69258,173449,3515416,4323269,4509759,1697000,2183217,2477717,28092634,32436192,29064036,36001344,296161,664164,2520978,3020163,2463762,2658429
Aminobutyric Acid_Pos,825317,1161658,625463,1782787,2491530,2547883,622862,392297,746985,4231729,3496571,1766880,299527,473568,534139,2820989,2501809,1580003,1617879,2480565,1698478,448061,1580506,2364413,3532757,1241891,1363832,1226404,749237,555248,1087418,745017,1329225,752691,336311,733135,33365946,34530948,33338066,62929196,61889976,64841460,499573,4697495,452385,473526,152383,635243,1220611,617235,493760,6490190,7668336,8416868,2892768,4657021,5284301,128395864,150046112,129118704,148975136,881992,337954,4380820,4703946,2970009,6541197
Arginine_Pos,1670358,1455404,1619413,1273874,1566251,819244,857751,780568,1070585,407991,1118629,1003391,675248,1093647,902359,1191979,1163881,1377136,592366,1344482,1101238,923591,795745,1068736,1623166,1202671,1342282,608759,845599,892973,4243499,8227959,7954676,919604,986006,842046,66127192,69891632,72688704,12124467,12094449,9343441,250059,634140,725968,1048219,1530020,1041118,901291,804532,858203,7501959,7561426,5905970,3972697,4228096,3232823,144551200,144355952,149919600,147132448,2660161,1995202,5820843,5099918,5528348,3762610
Argininosuccinic Acid_Pos,0,0,0,0,0,0,0,3616,3837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48978,0,0,0,9970346,10790625,11026793,5969373,6071923,5803651,0,0,0,0,0,0,0,0,0,980169,963085,775673,415029,416158,358144,24997004,20210950,25534832,19877888,12846,12119,661052,435768,497898,375546
Asparagine_Pos,365073,89926,117074,95987,427088,455330,91480,125970,41673,362020,317338,553847,193342,160407,78913,1534536,1298875,1567162,671059,1101355,817514,88113,175908,153409,296835,456746,464472,139340,88035,147410,517730,180226,259197,108279,209476,220599,16773177,16495150,15913840,14510414,14581215,14821705,157621,129351,145736,367545,265793,243278,123208,239727,140290,2007435,2067369,2825227,941541,1046857,1237035,27949846,33916604,27151140,36649316,544132,83017,1363178,2264432,1478245,1860200
