MF,Blk.Av,Blk.sd,Blk.max,Blk.LD
(3-Carboxypropyl)trimethylammonium (TMAB)_Pos,408163.3333333333,495931.9954452761,978869,1081889.519761228
2-Hydroxy-4-(methylthio)butyric_acid_Neg,0,0,0,20000
3-Sulfopyruvic Acid_Neg,0,0,0,20000
4-Hydroxyisoleucine_Neg,0,0,0,20000
4-Hydroxyisoleucine_Pos,76270.66666666667,46858.093541386566,122992,139927.62962703186
5-Methylcytosine_Pos,148200.33333333334,114812.65511403058,280502,304173.92042602657
6-Methyladenine_Pos,69117.66666666667,50750.71063870272,122003,138062.77013073972
Acetyl-L-carnitine_Pos,234860,138999.70900688967,383988,423691.82517739467
Acetylcholine_Pos,38469,31965.714836368043,73704,81894.58929639423
Acetylglutamic acid_Neg,279302.6666666667,102090.56265068449,352988,417993.22520416963
Acetylglutamic acid_Pos,0,0,0,20000
Acetylglycine_Neg,551192,141937.60082162864,667570,744014.9664359953
Aconitic Acid_Neg,31481.666666666668,18353.83366856454,51538,56415.44484073158
Adenine_Pos,1222730.3333333333,186825.19310128744,1354927,1476533.326551734
Adenosine_Pos,7576.333333333333,7844.508928756047,15664,18233.139374301027
Adenosyl Homocysteine_Pos,0,0,0,20000
Adenosyl Methionine_Pos,0,0,0,20000
ADP_Neg,0,0,0,20000
Alanine_Pos,132459,87008.15665786742,215279,250660.03181806963
Allopurinol_Neg,281055.3333333333,136583.84108061003,381271,466605.18941045954
Amino Propanesulfonic Acid_Neg,11564.333333333334,20030.012888995687,34693,38775.20966666667
Aminobutyric Acid_Pos,1883151,2437407.5961127225,4697495,5194381.853385442
AMP_Neg,0,0,0,20000
Anserine_Neg,115871.33333333333,13749.926411924296,125320,134550.67963534492
Anserine_Pos,25305.333333333332,34133.13875595582,64718,71675.37925911961
Arginine_Pos,536722.3333333334,252467.81063005506,725968,879701.162716718
Argininosuccinic Acid_Pos,0,0,0,20000
Arsenobetaine_Pos,3821.3333333333335,6618.74348598987,11464,12812.930666666669
Asparagine_Pos,144236,14194.566742243314,157621,163519.39249550007
Aspartic acid_Pos,322616,143447.45099164362,407590,517490.1057181229
beta-Alanine_Pos,87786.33333333333,46658.07786796766,137464,151171.57396459705
beta-Glutamic acid_Pos,374560.6666666667,16806.04773090132,390795,397391.7696216175
Betaine_Pos,2800792.6666666665,2014644.8125643223,4201703,5537698.0872516455
Betonicine_Pos,381543,162366.41499090876,567250,602118.616375743
Butyryl-L-carnitine_Pos,48540,6316.132281705316,55057,57120.498443756886
Butyrylglycine_Neg,46860,23986.61453811271,67241,79445.94018232042
cAMP_Neg,0,0,0,20000
Carnitine_Pos,201015.33333333334,131991.91687877456,338796,380327.03658047155
Carnosine_Neg,0,0,0,20000
Carnosine_Pos,19604.333333333332,22908.670723840205,44787,50725.881256547145
cGMP_Neg,0,0,0,20000
Chitobiose_Pos,193817.66666666666,24110.9782533462,216641,226572.55560075905
Choline_Pos,881404,206224.52807316591,1016731,1161561.0903322725
Citric Acid_Neg,295458.6666666667,253039.72130938916,497998,639214.4396723704
Citrulline_Pos,397429.6666666667,384711.41570056556,810142,920062.1190102643
Creatine_Pos,86230,73568.10431158329,148412,186172.65104043245
Cyclic diGMP_Neg,0,0,0,20000
Cys-Gly oxidized_Pos,0,0,0,20000
Cystathionine_Pos,0,0,0,20000
Cysteic Acid_Neg,0,0,0,20000
Cysteinesulfinic acid_Neg,0,0,0,20000
Cysteinesulfinic acid_Pos,0,0,0,20000
Cystine_Pos,8941.333333333334,15486.843620742522,26824,29980.290666666668
Cytidine_Pos,0,0,0,20000
Cytosine_Pos,443772.3333333333,172445.55500601727,596763,678040.5136638477
Deoxyadenosine_Pos,0,0,0,20000
DHAP_Neg,6886,11926.90186091929,20658,23088.758
DHPS_Neg,125097.66666666667,69744.33937125889,188826,219845.71321555303
Dimethyl Glycine_Pos,7384051,3019733.852540154,9545254,11486375.091173882
Dimethylsulfonioacetate (DMS-Ac)_Pos,0,0,0,20000
DMSP_Pos,0,0,0,20000
Ectoine_Pos,377715,254220.99875502023,530127,723075.5445386308
Ergothioneine_Pos,0,0,0,20000
Ethanesulfonic Acid_Neg,143395,148757.50409643207,296990,345482.8403851242
Ethyl Dihydroxybenzoate_Neg,92526,42705.98811642227,133057,150542.30621851468
FAD_Neg,0,0,0,20000
Fructose 6 phosphate_Neg,0,0,0,20000
Fumaric Acid_Neg,2570634,589889.6714852703,3111209,3372002.1763487444
Gluconic Acid_Neg,4518359,140558.37890001436,4650341,4709308.286306419
Glucosamine_Pos,73314,15081.927297265425,89195,93802.87640904513
Glucose 1 phosphate_Neg,0,0,0,20000
Glucose 6 phosphate_Neg,0,0,0,20000
Glucosylglycerol_Pos,0,0,0,20000
Glutamic acid_Pos,286888,151839.24192711184,390795,493162.39720199234
Glutamine_Pos,246265,6649.502161816326,250150,255298.38315387818
Glutamylphenylalanine_Neg,22371.333333333332,38748.28596639254,67114,75011.08066666666
Glutamylphenylalanine_Pos,6074,10520.47660517336,18222,20366.122000000003
Glutathione Disulfide_Pos,0,0,0,20000
Glutathione_Pos,0,0,0,20000
glycerol 3 phosphate_Neg,0,0,0,20000
Glycerophosphocholine_Pos,6944.333333333333,6305.612129946889,12312,15510.54009639621
Glycine_Pos,112174,37140.437207981275,155060,162629.47646090324
GMP_Neg,0,0,0,20000
Gonyol_Pos,1513,2620.592871851711,4539,5073.089
Guanine_Pos,171759.33333333334,44172.674204006864,218929,231768.14020425704
Guanosine_Pos,0,0,0,20000
Histidine_Pos,1289664,765895.267625411,2172890,2330136.691013094
Homarine_Pos,70402.66666666667,36270.737162805686,110145,119676.65110819289
Homocysteine Thiolactone_Pos,0,0,0,20000
Homocystine_Pos,0,0,0,20000
Homoserine_Pos,365715.3333333333,413101.49128916656,837950,926915.8505212537
Hordenine_Pos,80494.33333333333,45402.17379524171,132705,142173.42177194165
Hydroxyectoine_Pos,371545,280281.5309059803,695186,752308.9125479555
Hydroxylysine_Pos,0,0,0,20000
Hypoxanthine_Neg,491948.3333333333,165564.13486118705,646365,716868.0687279206
Hypoxanthine_Pos,161577,11786.321605997353,171330,177588.77899500442
Imidazoleacrylic Acid_Neg,1240827,781042.0677857243,2000472,2301876.697542852
Indole 3 carbinol_Neg,0,0,0,20000
Indole 3 Pyruvic Acid_Neg,0,0,0,20000
Inosine_Neg,0,0,0,20000
Isethionic Acid_Neg,181072,63361.156720817526,253292,267148.45983165246
Isocitric Acid_Neg,705189.3333333334,279296.86645634484,1022819,1084615.5741225462
Isoleucine_Pos,230656.66666666666,131732.6626935527,356569,409616.171759362
Keto-?-(methylthio)butyric acid_Neg,0,0,0,20000
Ketoglutaric Acid_Neg,462492,8794.650703694831,472647,474439.5785671899
L-Pyroglutamic acid_Neg,2606329.6666666665,1187046.2314267012,3956892,4218938.124999062
L-Pyroglutamic acid_Pos,13556,9130.151586912454,23850,25959.358256077427
Leucine_Pos,225532,30265.68333938621,259010,266648.0876957957
Lipoic Acid_Neg,0,0,0,20000
Lysine_Pos,119672.33333333333,77528.78163839113,177547,224995.58505202172
Malic Acid_Neg,48300320,3071576.5245384984,51507596,52473072.6298051
Melamine_Pos,1590465.3333333333,677422.9646862685,2275941,2510747.9422159847
MESNA (Sodium 2-mercaptoethanesulfonate)_Neg,0,0,0,20000
Methionine Sulfoxide_Pos,368692.6666666667,128135.06970901188,511546,542764.8230420883
Methionine_Pos,0,0,0,20000
Methylmalonyl carnitine_Pos,38476,36003.13536346522,79606,87386.44601003418
Muramic Acid_Pos,19878,24349.825543522893,47038,52957.36421583924
N-Acetyl-Serine_Pos,0,0,0,20000
N-Acetylglucosamine_Pos,86835,82987.1185727038,165347,199573.43073671323
N-Acetylmuramic acid_Neg,11723.333333333334,20305.408967399137,35170,39308.33666666667
N-Acetylmuramic acid_Pos,4923.333333333333,8527.463475930772,14770,16507.93666666667
N-acetyltaurine_Neg,5698.333333333333,9869.802851796652,17095,19106.51166666667
N-methyltaurine_Pos,47262,34438.637008453166,84335,94047.06688532454
N(e)-Acetyl-Lysine_Pos,14248.333333333334,9899.869712947404,25493,27697.35765338863
"NAD_Neg",0,0,0,20000
"NADH_Neg",0,0,0,20000
Ophthalmic Acid_Pos,0,0,0,20000
Ornithine_Pos,1890970.6666666667,374652.6789992744,2168098,2399938.2730630725
Orotic Acid_Neg,8264.666666666666,14314.822574287582,24794,27711.42733333334
Oxalic Acid_Neg,21418619.333333332,18951942.964060687,36014856,47164932.085571386
Phosphoglyceric Acid_Neg,3871,6704.768676099124,11613,12979.463000000002
PQS_Pos,0,0,0,20000
Proline_Pos,482459.3333333333,380264.080744334,803792,999050.0580865601
Propanesulfonate_Neg,0,0,0,20000
Propionyl-L-carnitine_Pos,92343.66666666667,21954.343017574753,111107,122168.7554542536
Propionylglycine_Neg,68626,32206.220004837574,100527,112378.31681439534
Pyridinedicarboxylic acid_Pos,51328.333333333336,14545.974162404296,63250,71089.11463060844
Resorcylic Acid_Neg,0,0,0,20000
Riboflavin Monophosphate_Neg,0,0,0,20000
Riboflavin Monophosphate_Pos,0,0,0,20000
Ribose 5 phosphate_Neg,0,0,0,20000
Salicylic Acid_Neg,184596,141925.44355752424,332503,377402.4507296935
Sarcosine_Pos,60573,36310.62226126123,85085,109901.16855451863
Serine_Pos,282039,161358.1229036828,437232,501244.84634886205
Shikimic Acid_Neg,239971.66666666666,143495.73039060546,354638,434911.3601985308
