MF,FinalBMIS,Orig_RSD,FinalRSD,SampID,runDate,type,samp,replicate,Area,Adjusted_Area,Blk.QC,Rep,Background,Mass.Error.PPM,SN,SNFlag,ppmFlag,areaminFlag
6-Methyladenine_Pos,Inj_vol,0.05840332597294086,0.05840332597294086,210322_Smp_PPL_Aloha_A,210322,Smp,PPL,Aloha,247266,247266,ok,210322_Smp_PPL_Aloha_A,14175,-2.5,17.443809523809524,NA,NA,NA
6-Methyladenine_Pos,Inj_vol,0.05840332597294086,0.05840332597294086,210322_Smp_PPL_Aloha_B,210322,Smp,PPL,Aloha,282884,282884,ok,210322_Smp_PPL_Aloha_B,0,-2.4,Inf,NA,NA,NA
6-Methyladenine_Pos,Inj_vol,0.05840332597294086,0.05840332597294086,210322_Smp_PPL_Aloha_C,210322,Smp,PPL,Aloha,283536,283536,ok,210322_Smp_PPL_Aloha_C,0,-2.7,Inf,NA,NA,NA
6-Methyladenine_Pos,Inj_vol,0.05840332597294086,0.05840332597294086,210322_Smp_PPL_PS_A,210322,Smp,PPL,PS,417820,417820,ok,210322_Smp_PPL_PS_A,375062,-3.7,1.1140024849224928,NA,NA,NA
6-Methyladenine_Pos,Inj_vol,0.05840332597294086,0.05840332597294086,210322_Smp_PPL_PS_B,210322,Smp,PPL,PS,567269,567269,ok,210322_Smp_PPL_PS_B,0,-4.1,Inf,NA,NA,NA
6-Methyladenine_Pos,Inj_vol,0.05840332597294086,0.05840332597294086,210322_Smp_PPL_PS_C,210322,Smp,PPL,PS,838311,838311,ok,210322_Smp_PPL_PS_C,396043,-3.6,2.1167171241506604,NA,NA,NA
Aconitic Acid_Neg,Inj_vol,0.19531166643209447,0.19531166643209447,210322_Smp_PPL_Aloha_A,210322,Smp,PPL,Aloha,388217,388217,ok,210322_Smp_PPL_Aloha_A,0,0.5,NA,NA,NA,NA
Aconitic Acid_Neg,Inj_vol,0.19531166643209447,0.19531166643209447,210322_Smp_PPL_Aloha_B,210322,Smp,PPL,Aloha,110242,110242,ok,210322_Smp_PPL_Aloha_B,0,0.9,NA,NA,NA,NA
Aconitic Acid_Neg,Inj_vol,0.19531166643209447,0.19531166643209447,210322_Smp_PPL_Aloha_C,210322,Smp,PPL,Aloha,460964,460964,ok,210322_Smp_PPL_Aloha_C,0,0,NA,NA,NA,NA
Aconitic Acid_Neg,Inj_vol,0.19531166643209447,0.19531166643209447,210322_Smp_PPL_PS_A,210322,Smp,PPL,PS,647364,647364,ok,210322_Smp_PPL_PS_A,0,0.4,NA,NA,NA,NA
Aconitic Acid_Neg,Inj_vol,0.19531166643209447,0.19531166643209447,210322_Smp_PPL_PS_B,210322,Smp,PPL,PS,420542,420542,ok,210322_Smp_PPL_PS_B,0,-0.5,NA,NA,NA,NA
Aconitic Acid_Neg,Inj_vol,0.19531166643209447,0.19531166643209447,210322_Smp_PPL_PS_C,210322,Smp,PPL,PS,458857,458857,ok,210322_Smp_PPL_PS_C,0,-0.3,NA,NA,NA,NA
Adenine_Pos,"L-Isoleucine, 15N",0.15007866007616105,0.07848423159398114,210322_Smp_PPL_Aloha_A,210322,Smp,PPL,Aloha,4264655,2335590.075351232,ok,210322_Smp_PPL_Aloha_A,1666147,-3.3,2.5595910804988997,NA,NA,NA
Adenine_Pos,"L-Isoleucine, 15N",0.15007866007616105,0.07848423159398114,210322_Smp_PPL_Aloha_B,210322,Smp,PPL,Aloha,3439271,1941088.038883286,ok,210322_Smp_PPL_Aloha_B,1259522,-3.2,2.730616059108138,NA,NA,NA
Adenine_Pos,"L-Isoleucine, 15N",0.15007866007616105,0.07848423159398114,210322_Smp_PPL_Aloha_C,210322,Smp,PPL,Aloha,3244930,1687647.1289280546,ok,210322_Smp_PPL_Aloha_C,1125900,-3.4,2.8820765609734433,NA,NA,NA
Adenine_Pos,"L-Isoleucine, 15N",0.15007866007616105,0.07848423159398114,210322_Smp_PPL_PS_A,210322,Smp,PPL,PS,5266834,4902608.422356063,ok,210322_Smp_PPL_PS_A,1165082,-3.8,4.520569367649659,NA,NA,NA
Adenine_Pos,"L-Isoleucine, 15N",0.15007866007616105,0.07848423159398114,210322_Smp_PPL_PS_B,210322,Smp,PPL,PS,2792140,2345691.6878244136,ok,210322_Smp_PPL_PS_B,1050266,-4.2,2.6585074638234505,NA,NA,NA
Adenine_Pos,"L-Isoleucine, 15N",0.15007866007616105,0.07848423159398114,210322_Smp_PPL_PS_C,210322,Smp,PPL,PS,6696522,5477442.780080683,ok,210322_Smp_PPL_PS_C,1368407,-3.5,4.893662484918595,NA,NA,NA
Adenosine_Pos,"L-Isoleucine, 15N",0.24458149994047992,0.04417758732071802,210322_Smp_PPL_Aloha_A,210322,Smp,PPL,Aloha,495741,271498.5759796971,ok,210322_Smp_PPL_Aloha_A,0,-2.2,Inf,NA,NA,NA
Adenosine_Pos,"L-Isoleucine, 15N",0.24458149994047992,0.04417758732071802,210322_Smp_PPL_Aloha_B,210322,Smp,PPL,Aloha,362296,204476.0160322519,ok,210322_Smp_PPL_Aloha_B,0,-1.9,Inf,NA,NA,NA
Adenosine_Pos,"L-Isoleucine, 15N",0.24458149994047992,0.04417758732071802,210322_Smp_PPL_Aloha_C,210322,Smp,PPL,Aloha,430668,223984.990037131,ok,210322_Smp_PPL_Aloha_C,0,-2.3,Inf,NA,NA,NA
