Compound,Rep,sample,EE.adjust.conc,C,N,Nmol.C,Nmol.N
6-Methyladenine,210322_Smp_PPL_Aloha_A,Aloha,0.006038662918894586,6,5,0.036231977513367514,0.030193314594472928
6-Methyladenine,210322_Smp_PPL_Aloha_B,Aloha,0.006908516015742464,6,5,0.041451096094454784,0.03454258007871232
6-Methyladenine,210322_Smp_PPL_Aloha_C,Aloha,0.006924438982196077,6,5,0.04154663389317646,0.03462219491098038
6-Methyladenine,210322_Smp_PPL_PS_A,PS,0.010203886263265212,6,5,0.06122331757959128,0.05101943131632606
6-Methyladenine,210322_Smp_PPL_PS_B,PS,0.013853689044747005,6,5,0.08312213426848203,0.06926844522373503
6-Methyladenine,210322_Smp_PPL_PS_C,PS,0.020473002961189323,6,5,0.12283801776713593,0.10236501480594662
Aconitic Acid,210322_Smp_PPL_Aloha_A,Aloha,0.8246513221994526,6,NA,4.947907933196715,NA
Aconitic Acid,210322_Smp_PPL_Aloha_B,Aloha,0.2341762752839573,6,NA,1.4050576517037436,NA
Aconitic Acid,210322_Smp_PPL_Aloha_C,Aloha,0.979180644037609,6,NA,5.875083864225654,NA
Aconitic Acid,210322_Smp_PPL_PS_A,PS,1.375131894132216,6,NA,8.250791364793296,NA
Aconitic Acid,210322_Smp_PPL_PS_B,PS,0.8933161513802904,6,NA,5.359896908281742,NA
Aconitic Acid,210322_Smp_PPL_PS_C,PS,0.9747049504541898,6,NA,5.848229702725138,NA
Adenine,210322_Smp_PPL_Aloha_A,Aloha,0.0956097523356962,5,5,0.478048761678481,0.478048761678481
Adenine,210322_Smp_PPL_Aloha_B,Aloha,0.07946041071933574,5,5,0.3973020535966787,0.3973020535966787
Adenine,210322_Smp_PPL_Aloha_C,Aloha,0.0690855496132364,5,5,0.34542774806618204,0.34542774806618204
Adenine,210322_Smp_PPL_PS_A,PS,0.20069325606715105,5,5,1.0034662803357552,1.0034662803357552
Adenine,210322_Smp_PPL_PS_B,PS,0.09602327210397438,5,5,0.4801163605198719,0.4801163605198719
Adenine,210322_Smp_PPL_PS_C,PS,0.22422468444412555,5,5,1.1211234222206277,1.1211234222206277
Adenosine,210322_Smp_PPL_Aloha_A,Aloha,0.01748005534151284,10,5,0.1748005534151284,0.0874002767075642
Adenosine,210322_Smp_PPL_Aloha_B,Aloha,0.013164901743437197,10,5,0.13164901743437196,0.06582450871718598
Adenosine,210322_Smp_PPL_Aloha_C,Aloha,0.014420959695236265,10,5,0.14420959695236266,0.07210479847618133
Adenosine,210322_Smp_PPL_PS_A,PS,0.09206699683052501,10,5,0.92066996830525,0.460334984152625
Adenosine,210322_Smp_PPL_PS_B,PS,0.08828401852290468,10,5,0.8828401852290468,0.4414200926145234
Adenosine,210322_Smp_PPL_PS_C,PS,0.10338557219253044,10,5,1.0338557219253044,0.5169278609626522
Glutamylphenylalanine,210322_Smp_PPL_Aloha_A,Aloha,0.07089464436067935,14,2,0.9925250210495109,0.1417892887213587
Glutamylphenylalanine,210322_Smp_PPL_Aloha_B,Aloha,0.05595429449458496,14,2,0.7833601229241894,0.11190858898916992
Glutamylphenylalanine,210322_Smp_PPL_Aloha_C,Aloha,0.02340348437851373,14,2,0.3276487812991922,0.04680696875702746
Glutamylphenylalanine,210322_Smp_PPL_PS_A,PS,0.06520390508817649,14,2,0.9128546712344708,0.13040781017635297
Glutamylphenylalanine,210322_Smp_PPL_PS_B,PS,0.029038316272906383,14,2,0.4065364278206894,0.058076632545812766
Glutamylphenylalanine,210322_Smp_PPL_PS_C,PS,0.11569492630442427,14,2,1.6197289682619398,0.23138985260884853
Gonyol,210322_Smp_PPL_Aloha_A,Aloha,1.3836582475179908,7,NA,9.685607732625936,NA
Gonyol,210322_Smp_PPL_Aloha_B,Aloha,0.808573814802189,7,NA,5.660016703615323,NA
Gonyol,210322_Smp_PPL_Aloha_C,Aloha,1.3813730477243846,7,NA,9.669611334070693,NA
Gonyol,210322_Smp_PPL_PS_A,PS,0.6492990164891043,7,NA,4.54509311542373,NA
Gonyol,210322_Smp_PPL_PS_B,PS,1.1913145527207123,7,NA,8.339201869044986,NA
Gonyol,210322_Smp_PPL_PS_C,PS,1.140133331946455,7,NA,7.980933323625186,NA
Guanine,210322_Smp_PPL_Aloha_A,Aloha,1.0368789860453238,5,5,5.184394930226619,5.184394930226619
Guanine,210322_Smp_PPL_Aloha_B,Aloha,0.8072302530796592,5,5,4.0361512653982965,4.0361512653982965
