Compound,z,RFmax,RFmin,RF,RFratio
(3-Carboxypropyl)trimethylammonium (TMAB),1,414206720,352161568,383184144,0.9956804011245992
3-Sulfopyruvic Acid,-1,4003872.25,3152556.75,3578214.5,1.0255783274023285
4-Hydroxyisoleucine,1,16908320,6612142,11760231,1.1647264534588033
5-Methylcytosine,1,296208448,274048288,285128368,0.9162516594456588
6-Methyladenine,1,496200768,487862752,492031760,0.9125873234876414
Acetyl-L-carnitine,1,675147264,626975168,651061216,0.9758297960510731
Acetylcholine,1,201297984,175312560,188305272,0.8982708420429162
Acetylglutamic acid,-1,44643776,43148156,43895966,0.9783875079432671
Acetylglycine,-1,18408731.2,14805379.2,16607055.2,0.9506980930694988
Aconitic Acid,-1,80725208,69259600,74992404,0.9575774727126638
Adenine,1,309913792,254669840,282291816,1.1228149462600285
Adenosine,1,241621808,169385712,205503760,1.0928790554026944
ADP,-1,3580567.5,1849878.5,2715223,0.9675595962021086
Alanine,1,8109048,7023158.5,7566103.25,0.9874156149529281
Allopurinol,-1,18430216,14040476,16235346,0.9616509428778888
Amino Propanesulfonic Acid,-1,16359650,7438736.5,11899193.25,1.5785432425355532
Aminobutyric Acid,1,37511528,32098966,34805247,0.9658829478975306
AMP,-1,9785704,8519742,9152723,0.9532217923334295
Anserine,1,48622920,36890732,42756826,0.9593927982208856
Arginine,1,36137800,36088988,36113394,0.9960311786962021
Argininosuccinic Acid,1,6249251,5052737.5,5650994.25,0.983268396546185
Arsenobetaine,1,541044096,427484288,484264192,1.0126876814650099
Asparagine,1,8479151,6987461.5,7733306.25,0.9721298080725923
Aspartic acid,1,3228355.75,2745487.5,2986921.625,0.9627265071138846
ATP,-1,1996998.5,231867,1114432.75,0.8709707176133162
beta-Alanine,1,11678027,8735116,10206571.5,1.0447707345339965
beta-Glutamic acid,1,12245077,11272664,11758870.5,0.9655057535840543
Betaine,1,786940160,696707520,741823840,0.9761332199268595
Betonicine,1,578688192,479126400,528907296,1.0600238886376303
Butyryl-L-carnitine,1,1730954496,1573297792,1652126144,0.9839126835460519
Butyrylglycine,-1,43150560,40502688,41826624,0.8620415387396212
cAMP,-1,77181912,48772540,62977226,0.9254088929328437
Carnitine,1,693406464,588265856,640836160,0.9983172869558162
Carnosine,1,31975380,27505036,29740208,1.0344872192293657
cGMP,-1,18268556,13898002,16083279,0.9375648453314607
Chitobiose,1,11932664,8239287.5,10085975.75,1.0124685002971296
Choline,1,277916672,254553904,266235288,1.0071947914507287
Citric Acid,-1,9071286,3510048,6290667,-2.216183608116751
Citrulline,1,16468982,14576664,15522823,1.0123448165940052
Creatine,1,160460576,144132128,152296352,1.0079291749962
Cyclic diGMP,-1,3122113.75,2622999.75,2872556.75,0.9717939032998992
Cys-Gly oxidized,1,12600741,8429267,10515004,1.1473761833112612
Cystathionine,1,6826374,4629190,5727782,1.0555850291509445
Cysteic Acid,-1,9294016,8916595,9105305.5,1.0394493874000543
Cysteinesulfinic acid,-1,5238676,4402257.6,4820466.8,0.8521543600444774
Cystine,1,4133328.75,3231764.25,3682546.5,0.9492835807129267
Cytidine,1,31926882,23412016,27669449,0.9585050649836999
Cytosine,1,175932912,151238672,163585792,0.9600886020626633
Deoxyadenosine,1,224483728,147027696,185755712,1.0834280989216063
DHAP,-1,1407135,1241143.75,1324139.375,0.9495580550026113
DHPS,-1,93500096,81544544,87522320,0.9802956425463468
Dimethyl Glycine,1,75066328,63655180,69360754,1.0092006992909455
Dimethylsulfonioacetate (DMS-Ac),1,202184112,180002992,191093552,1.0625281909221305
DMSP,1,306191456,231271152,268731304,1.0196178426027844
Ectoine,1,680842624,585830016,633336320,1.0018273189799867
Ergothioneine,1,20116548,18509024,19312786,1.0526816881616794
Ethanesulfonic Acid,-1,98699664,95130472,96915068,0.9617258230650412
Ethyl Dihydroxybenzoate,-1,31816940,25862234,28839587,1.0535079862697265
FAD,-1,5665201.5,5549170.5,5607186,0.8964920367546798
Fructose 6 phosphate,-1,4348146,4238651.5,4293398.75,0.9574937907587857
Fumaric Acid,-1,8006856.5,351559.5,4179208,11.079246815689745
Gluconic Acid,-1,39860148,21671650,30765899,0.8850756270643819
Glucosamine,1,13641953.6,10801195.2,12221574.399999999,0.944472656511788
Glucose 1 phosphate,-1,7045114.5,6619767,6832440.75,0.9143809225580091
Glucose 6 phosphate,-1,5505904,5124868.5,5315386.25,0.9316266816677015
Glucosylglycerol,1,1666645.75,1173206,1419925.875,1.0132283118708265
Glutamic acid,1,9073880,7505175,8289527.5,0.9424579963498503
Glutamine,1,34122328,31270792,32696560,0.9745206726035633
Glutamylphenylalanine,1,43802528,32457668,38130098,1.0311206155417658
Glutathione,1,5378168,2829659.25,4103913.625,1.10662445779056
Glutathione Disulfide,1,3080137.75,2651929.25,2866033.5,0.9663373867992774
glycerol 3 phosphate,-1,6132131,6041255,6086693,1.0035335346960503
Glycerophosphocholine,1,45986932,38607240,42297086,1.0709585820250864
Glycine,1,984068.25,803602.25,893835.25,0.947962899888209
GMP,-1,3755893.5,3458755.5,3607324.5,0.9213444621938459
Gonyol,1,30816544,19765324,25290934,1.0921113064314047
GTP,-1,NA,NA,932698.75,NA
Guanine,1,42244840,34482304,38363572,0.9341377305606104
Guanosine,1,22664492,20575102,21619797,1.0214306904493045
Histidine,1,106841824,78756856,92799340,1.0026117059597421
Homarine,1,31199102,25147120,28173111,1.022629974390446
Homocysteine Thiolactone,1,9337441,6965395.5,8151418.25,1.0117681753614003
Homocystine,1,4758140.5,3401923.75,4080032.125,1.042962120197386
