Compound,sample,mean.conc,sd.mean.conc,mean.Nmol.C,sd.Nmol.C,mean.Nmol.N,sd.Nmol.N
6-Methyladenine,ALOHA,0.00662387263894437,5.06869014189796e-4,0.03974323583366625,0.0030412140851387797,0.033119363194721876,0.002534345070948984
6-Methyladenine,PS,0.014843526089733843,0.0052056241192211675,0.08906115653840307,0.031233744715326996,0.07421763044866923,0.026028120596105844
Aconitic Acid,ALOHA,0.6793360805070063,0.3931860462511447,4.076016483042038,2.3591162775068684,NA,NA
Aconitic Acid,PS,1.0810509986555654,0.25791222143771003,6.486305991933392,1.5474733286262605,NA,NA
Adenine,ALOHA,0.08138523755608945,0.013366452456772194,0.40692618778044726,0.06683226228386095,0.40692618778044726,0.06683226228386095
Adenine,PS,0.17364707087175033,0.06824604480642303,0.8682353543587515,0.34123022403211517,0.8682353543587515,0.34123022403211517
Adenosine,ALOHA,0.015021972260062097,0.0022194705947714663,0.150219722600621,0.022194705947714628,0.0751098613003105,0.011097352973857314
Adenosine,PS,0.09457886251532004,0.007857883476037615,0.9457886251532004,0.0785788347603761,0.4728943125766002,0.03928941738018805
Glutamylphenylalanine,ALOHA,0.05008414107792601,0.024283669306022247,0.7011779750909641,0.33997137028431135,0.10016828215585202,0.04856733861204449
Glutamylphenylalanine,PS,0.06997904922183572,0.04352520553267448,0.9797066891057,0.6093528774574426,0.1399580984436714,0.08705041106534893
Gonyol,ALOHA,1.191201703348188,0.3313674416028245,8.338411923437317,2.3195720912197717,NA,NA
Gonyol,PS,0.9935823003854238,0.29925426315728765,6.9550761026979675,2.0947798421010138,NA,NA
Guanine,ALOHA,0.939272270530554,0.11863379641888665,4.69636135265277,0.5931689820944328,4.69636135265277,0.5931689820944328
Guanine,PS,2.3070705103004445,0.46680041107475856,11.535352551502223,2.3340020553737917,11.535352551502223,2.3340020553737917
(Iso)leucine,ALOHA,3.993716802548565,0.17366257653238087,23.96230081529139,1.0419754591942856,3.993716802548565,0.17366257653238087
(Iso)leucine,PS,1.721447810225046,0.1619490970456978,10.328686861350276,0.9716945822741865,1.721447810225046,0.1619490970456978
N-Acetylmuramic acid,ALOHA,0.2665760425948412,0.05848671509786834,2.932336468543253,0.6433538660765519,0.2665760425948412,0.05848671509786834
N-Acetylmuramic acid,PS,0.21798032239996612,0.018697227558771082,2.3977835463996273,0.20566950314648205,0.21798032239996612,0.018697227558771082
Resorcylic Acid,PS,0.035660205759188116,0.013647469532671541,0.2496214403143168,0.09553228672870077,NA,NA
Tyrosine,ALOHA,2.3907482750919264,0.26274509254762446,21.516734475827338,2.3647058329286197,2.3907482750919264,0.26274509254762446
Tyrosine,PS,1.05860548805258,0.018350805416927043,9.52744939247322,0.16515724875234314,1.05860548805258,0.018350805416927043
Domoic Acid,ALOHA,0.004158282799151353,7.406323206549432e-4,0.06237424198727038,0.011109484809824136,0.004158282799151353,7.406323206549432e-4
Domoic Acid,PS,0.011682794529867433,0.011492789973712253,0.17524191794801158,0.17239184960568377,0.011682794529867433,0.011492789973712253
Kynurenine,ALOHA,0.03405395746785474,0.03384579082146964,0.3405395746785474,0.3384579082146964,0.06810791493570946,0.06769158164293927
Kynurenine,PS,0.0945242474143546,0.061072274931444064,0.9452424741435459,0.6107227493144406,0.1890484948287092,0.12214454986288813
Methylthioadenosine,ALOHA,1.7298358034433423e-4,1.3472015329543568e-4,0.001902819383787675,0.0014819216862497916,8.649179017216707e-4,6.736007664771777e-4
Methylthioadenosine,PS,0.0014545965421603,0.0011012971352765762,0.01600056196376334,0.01211426848804234,0.007272982710801517,0.0055064856763828805
Sulfurol,ALOHA,0.0029894952965619933,6.650655144092403e-5,0.017936971779372004,3.9903930864555373e-4,0.0029894952965619933,6.650655144092403e-5
Sulfurol,PS,0.00646074005840377,5.732894175685567e-4,0.038764440350422646,0.003439736505411343,0.00646074005840377,5.732894175685567e-4
Vitamin B3,ALOHA,0.00722596638246977,0.004220384564038988,0.04335579829481864,0.025322307384233925,0.00722596638246977,0.004220384564038988
Vitamin B3,PS,0.011237141259429054,0.0051510349830036,0.06742284755657434,0.03090620989802159,0.011237141259429054,0.0051510349830036
Vitamin B5,ALOHA,0.00417517091812666,3.8970892686969347e-4,0.037576538263139996,0.0035073803418272406,0.00417517091812666,3.8970892686969347e-4
Vitamin B5,PS,0.014188535819564047,0.0020818463768113795,0.12769682237607646,0.01873661739130245,0.014188535819564047,0.0020818463768113795
Vitamin B6,ALOHA,0.01419309537617376,9.215706965117306e-4,0.11354476300939012,0.007372565572093845,0.01419309537617376,9.215706965117306e-4
Vitamin B6,PS,0.012470539588007612,0.0014146658423729655,0.09976431670406093,0.011317326738983734,0.012470539588007612,0.0014146658423729655
Vitamin B9,ALOHA,0.015752658199645404,0.0018027443698331366,0.2993005057932628,0.0342521430268296,0.11026860739751784,0.012619210588831954
Vitamin B9,PS,0.023699346453558312,0.012610790884457025,0.4502875826176081,0.23960502680468349,0.16589542517490824,0.08827553619119917
Xanthine,ALOHA,0.005679767642959777,0.0033868754433601287,0.028398838214798917,0.016934377216800637,0.022719070571839133,0.013547501773440511
Xanthine,PS,0.023458877356379883,0.016245509522633064,0.11729438678189943,0.08122754761316531,0.09383550942551955,0.06498203809053224
Tryptophan,ALOHA,9.313293729114537,3.918560120255842,102.44623102025992,43.10416132281426,18.626587458229075,7.837120240511684
Tryptophan,PS,2.704351804718172,2.137417846825787,29.747869851899893,23.511596315083658,5.408703609436344,4.274835693651574
