Fraction,MF,SampID,Retention_time,mz,QCd_area,method,Station
RP,1_RP,210329_Smp_PS_A,0.699,90.05545,181048.85587649743,CatEx,PS
RP,1_RP,210329_Smp_PS_B,0.699,90.05545,207116.87710344707,CatEx,PS
RP,1_RP,210329_Smp_PS_C,0.699,90.05545,215757.0191054415,CatEx,PS
RP,10001_RP,210329_Smp_PPL_Aloha_A,0.654,371.77237,618370.9606516918,PPL,A
RP,10001_RP,210329_Smp_PPL_Aloha_B,0.654,371.77237,194351.75776840272,PPL,A
RP,10001_RP,210329_Smp_PPL_Aloha_C,0.654,371.77237,377672.9896430711,PPL,A
RP,10001_RP,210329_Smp_PPL_PS_A,0.654,371.77237,110655.79276176813,PPL,PS
RP,10001_RP,210329_Smp_PPL_PS_B,0.654,371.77237,85757.50123016123,PPL,PS
RP,10001_RP,210329_Smp_PPL_PS_C,0.654,371.77237,130110.46514409284,PPL,PS
RP,1001_RP,210329_Smp_PPL_PS_A,3.043,137.13274,351664.55927971884,PPL,PS
RP,1001_RP,210329_Smp_PPL_PS_B,3.043,137.13274,241294.92562746245,PPL,PS
RP,1001_RP,210329_Smp_PPL_PS_C,3.043,137.13274,199895.94878657552,PPL,PS
RP,10021_RP,210329_Smp_Aloha_A,3.541,372.22302,641738,CatEx,A
RP,10021_RP,210329_Smp_Aloha_B,3.541,372.22302,376672,CatEx,A
RP,10021_RP,210329_Smp_Aloha_C,3.541,372.22302,531708,CatEx,A
RP,10021_RP,210329_Smp_PPL_Aloha_A,3.541,372.22302,3312492,PPL,A
RP,10021_RP,210329_Smp_PPL_Aloha_B,3.541,372.22302,2848138,PPL,A
RP,10021_RP,210329_Smp_PPL_Aloha_C,3.541,372.22302,4016946.000000001,PPL,A
RP,10025_RP,210329_Smp_Aloha_A,4.927,372.2496,2328722,CatEx,A
RP,10025_RP,210329_Smp_Aloha_B,4.927,372.2496,1580336,CatEx,A
RP,10025_RP,210329_Smp_Aloha_C,4.927,372.2496,1233132,CatEx,A
RP,10025_RP,210329_Smp_PPL_Aloha_A,4.927,372.2496,4141776.000000001,PPL,A
RP,10025_RP,210329_Smp_PPL_Aloha_B,4.927,372.2496,3993409.999999999,PPL,A
RP,10025_RP,210329_Smp_PPL_Aloha_C,4.927,372.2496,3978503.999999999,PPL,A
RP,10026_RP,210329_Smp_PPL_Aloha_A,2.108,372.2594,20134226,PPL,A
RP,10026_RP,210329_Smp_PPL_Aloha_B,2.108,372.2594,26599250,PPL,A
RP,10026_RP,210329_Smp_PPL_Aloha_C,2.108,372.2594,27815884,PPL,A
RP,10035_RP,210329_Smp_Aloha_A,0.662,372.73761,417551.6701886461,CatEx,A
RP,10035_RP,210329_Smp_Aloha_B,0.662,372.73761,501462.05011275015,CatEx,A
RP,10035_RP,210329_Smp_Aloha_C,0.662,372.73761,10546747.800824076,CatEx,A
RP,10035_RP,210329_Smp_PS_A,0.662,372.73761,2085246.8736470584,CatEx,PS
RP,10035_RP,210329_Smp_PS_B,0.662,372.73761,2621933.3111935197,CatEx,PS
