MF,Fraction,mz,Retention_time,annotation,method,210329_Smp_PS_A,210329_Smp_PS_B,210329_Smp_PS_C,210329_Smp_PPL_Aloha_A,210329_Smp_PPL_Aloha_B,210329_Smp_PPL_Aloha_C,210329_Smp_PPL_PS_A,210329_Smp_PPL_PS_B,210329_Smp_PPL_PS_C,210329_Smp_Aloha_A,210329_Smp_Aloha_B,210329_Smp_Aloha_C,210322_Smp_PPL_PS_A,210322_Smp_PPL_PS_B,210322_Smp_PPL_PS_C,210322_Smp_Aloha_A,210322_Smp_Aloha_B,210322_Smp_Aloha_C,210322_Smp_PS_A,210322_Smp_PS_B,210322_Smp_PS_C,210322_Smp_PPL_Aloha_A,210322_Smp_PPL_Aloha_B,210322_Smp_PPL_Aloha_C
8_HILICNeg,HILICNeg,61.98714,5.16,Unknown,PPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2089015680,5944855040,588055232,NA,NA,NA,NA,NA,NA,NA,NA,NA
61_HILICNeg,HILICNeg,78.91776,8.384,Unknown,PPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1529874176,1517948160,2002144640,NA,NA,NA,NA,NA,NA,2257287424,32068176,1772129408
69_HILICNeg,HILICNeg,79.95621,2.919,Unknown,CatEx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51616668,63955248,331050208,NA,NA,NA
71_HILICNeg,HILICNeg,79.95624,14.878,Unknown,PPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9520476.265542816,9574886.496530443,24626684.675003637,NA,NA,NA,NA,NA,NA,53615011.65280312,4880075.001193641,33922493.26193277
76_HILICNeg,HILICNeg,80.91569,8.384,Unknown,PPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1827746176,1804570368,2398767872,NA,NA,NA,NA,NA,NA,2680332544,46692392,2098762240
87_HILICNeg,HILICNeg,81.95203,2.913,Unknown,CatEx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3061162,4135750,26653842,NA,NA,NA
89_HILICNeg,HILICNeg,81.95206,14.884,Unknown,PPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1331622,1120018,2655114,NA,NA,NA,NA,NA,NA,NA,NA,NA
143_HILICNeg,HILICNeg,93.9719,2.909,Unknown,CatEx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22995352,29525084,194592624,NA,NA,NA
164_HILICNeg,HILICNeg,96.71236,14.927,Unknown,PPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1880570,2816566,5143048,NA,NA,NA,NA,NA,NA,14431278,975846,8034974
165_HILICNeg,HILICNeg,96.95899,14.907,Unknown,PPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4175705856,4458280960,8824201216,NA,NA,NA,NA,NA,NA,18215473152,2084688512,12010253312
