key,Level,Classification,CHEMONT
DHMQDGOQFOQNFH-UHFFFAOYSA-N,kingdom,Organic compounds,CHEMONTID:0000000
DHMQDGOQFOQNFH-UHFFFAOYSA-N,superclass,Organic acids and derivatives,CHEMONTID:0000264
DHMQDGOQFOQNFH-UHFFFAOYSA-N,class,Carboxylic acids and derivatives,CHEMONTID:0000265
DHMQDGOQFOQNFH-UHFFFAOYSA-N,subclass,"Amino acids, peptides, and analogues",CHEMONTID:0000013
DHMQDGOQFOQNFH-UHFFFAOYSA-N,level 5,Amino acids and derivatives,CHEMONTID:0000347
DHMQDGOQFOQNFH-UHFFFAOYSA-N,level 6,Alpha amino acids and derivatives,CHEMONTID:0000060
DHMQDGOQFOQNFH-UHFFFAOYSA-N,level 7,Alpha amino acids,CHEMONTID:0002404
QNAYBMKLOCPYGJ-REOHCLBHSA-N,kingdom,Organic compounds,CHEMONTID:0000000
QNAYBMKLOCPYGJ-REOHCLBHSA-N,superclass,Organic acids and derivatives,CHEMONTID:0000264
QNAYBMKLOCPYGJ-REOHCLBHSA-N,class,Carboxylic acids and derivatives,CHEMONTID:0000265
QNAYBMKLOCPYGJ-REOHCLBHSA-N,subclass,"Amino acids, peptides, and analogues",CHEMONTID:0000013
QNAYBMKLOCPYGJ-REOHCLBHSA-N,level 5,Amino acids and derivatives,CHEMONTID:0000347
QNAYBMKLOCPYGJ-REOHCLBHSA-N,level 6,Alpha amino acids and derivatives,CHEMONTID:0000060
QNAYBMKLOCPYGJ-REOHCLBHSA-N,level 7,Alanine and derivatives,CHEMONTID:0004314
ODKSFYDXXFIFQN-BYPYZUCNSA-N,kingdom,Organic compounds,CHEMONTID:0000000
ODKSFYDXXFIFQN-BYPYZUCNSA-N,superclass,Organic acids and derivatives,CHEMONTID:0000264
ODKSFYDXXFIFQN-BYPYZUCNSA-N,class,Carboxylic acids and derivatives,CHEMONTID:0000265
ODKSFYDXXFIFQN-BYPYZUCNSA-N,subclass,"Amino acids, peptides, and analogues",CHEMONTID:0000013
ODKSFYDXXFIFQN-BYPYZUCNSA-N,level 5,Amino acids and derivatives,CHEMONTID:0000347
ODKSFYDXXFIFQN-BYPYZUCNSA-N,level 6,Alpha amino acids and derivatives,CHEMONTID:0000060
ODKSFYDXXFIFQN-BYPYZUCNSA-N,level 7,Alpha amino acids,CHEMONTID:0002404
ODKSFYDXXFIFQN-BYPYZUCNSA-N,level 8,L-alpha-amino acids,CHEMONTID:0004146
DCXYFEDJOCDNAF-REOHCLBHSA-N,kingdom,Organic compounds,CHEMONTID:0000000
DCXYFEDJOCDNAF-REOHCLBHSA-N,superclass,Organic acids and derivatives,CHEMONTID:0000264
DCXYFEDJOCDNAF-REOHCLBHSA-N,class,Carboxylic acids and derivatives,CHEMONTID:0000265
DCXYFEDJOCDNAF-REOHCLBHSA-N,subclass,"Amino acids, peptides, and analogues",CHEMONTID:0000013
DCXYFEDJOCDNAF-REOHCLBHSA-N,level 5,Amino acids and derivatives,CHEMONTID:0000347
DCXYFEDJOCDNAF-REOHCLBHSA-N,level 6,Alpha amino acids and derivatives,CHEMONTID:0000060
DCXYFEDJOCDNAF-REOHCLBHSA-N,level 7,Asparagine and derivatives,CHEMONTID:0004312
CKLJMWTZIZZHCS-REOHCLBHSA-N,kingdom,Organic compounds,CHEMONTID:0000000
CKLJMWTZIZZHCS-REOHCLBHSA-N,superclass,Organic acids and derivatives,CHEMONTID:0000264
CKLJMWTZIZZHCS-REOHCLBHSA-N,class,Carboxylic acids and derivatives,CHEMONTID:0000265
CKLJMWTZIZZHCS-REOHCLBHSA-N,subclass,"Amino acids, peptides, and analogues",CHEMONTID:0000013
CKLJMWTZIZZHCS-REOHCLBHSA-N,level 5,Amino acids and derivatives,CHEMONTID:0000347
CKLJMWTZIZZHCS-REOHCLBHSA-N,level 6,Alpha amino acids and derivatives,CHEMONTID:0000060
CKLJMWTZIZZHCS-REOHCLBHSA-N,level 7,Aspartic acid and derivatives,CHEMONTID:0004317
XUJNEKJLAYXESH-REOHCLBHSA-N,kingdom,Organic compounds,CHEMONTID:0000000
XUJNEKJLAYXESH-REOHCLBHSA-N,superclass,Organic acids and derivatives,CHEMONTID:0000264
XUJNEKJLAYXESH-REOHCLBHSA-N,class,Carboxylic acids and derivatives,CHEMONTID:0000265
XUJNEKJLAYXESH-REOHCLBHSA-N,subclass,"Amino acids, peptides, and analogues",CHEMONTID:0000013
XUJNEKJLAYXESH-REOHCLBHSA-N,level 5,Amino acids and derivatives,CHEMONTID:0000347
XUJNEKJLAYXESH-REOHCLBHSA-N,level 6,Alpha amino acids and derivatives,CHEMONTID:0000060
XUJNEKJLAYXESH-REOHCLBHSA-N,level 7,Cysteine and derivatives,CHEMONTID:0004313
LEVWYRKDKASIDU-IMJSIDKUSA-N,kingdom,Organic compounds,CHEMONTID:0000000
LEVWYRKDKASIDU-IMJSIDKUSA-N,superclass,Organic acids and derivatives,CHEMONTID:0000264
LEVWYRKDKASIDU-IMJSIDKUSA-N,class,Carboxylic acids and derivatives,CHEMONTID:0000265
LEVWYRKDKASIDU-IMJSIDKUSA-N,subclass,"Amino acids, peptides, and analogues",CHEMONTID:0000013
LEVWYRKDKASIDU-IMJSIDKUSA-N,level 5,Amino acids and derivatives,CHEMONTID:0000347
LEVWYRKDKASIDU-IMJSIDKUSA-N,level 6,Alpha amino acids and derivatives,CHEMONTID:0000060
LEVWYRKDKASIDU-IMJSIDKUSA-N,level 7,Cysteine and derivatives,CHEMONTID:0004313
LEVWYRKDKASIDU-IMJSIDKUSA-N,level 8,L-cysteine-S-conjugates,CHEMONTID:0004555
WHUUTDBJXJRKMK-VKHMYHEASA-N,kingdom,Organic compounds,CHEMONTID:0000000
WHUUTDBJXJRKMK-VKHMYHEASA-N,superclass,Organic acids and derivatives,CHEMONTID:0000264
WHUUTDBJXJRKMK-VKHMYHEASA-N,class,Carboxylic acids and derivatives,CHEMONTID:0000265
WHUUTDBJXJRKMK-VKHMYHEASA-N,subclass,"Amino acids, peptides, and analogues",CHEMONTID:0000013
