Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
Standards_neg,Poo_TruePoo_Full1,2-Hydroxy-4-(methylthio)butyric_acid,2.26,4094560,0,1099903,-0.6,Standards_neg
Standards_neg,Poo_TruePoo_Full2,2-Hydroxy-4-(methylthio)butyric_acid,2.26,5341042,0,1375987,-0.7,Standards_neg
Standards_neg,Poo_TruePoo_Full3,2-Hydroxy-4-(methylthio)butyric_acid,2.25,7568212,0,3005164,-1.8,Standards_neg
Standards_neg,Poo_TruePoo_Half1,2-Hydroxy-4-(methylthio)butyric_acid,2.26,2828867,0,876863,-1.4,Standards_neg
Standards_neg,Poo_TruePoo_Half2,2-Hydroxy-4-(methylthio)butyric_acid,2.26,2766455,0,932625,-0.9,Standards_neg
Standards_neg,Poo_TruePoo_Half3,2-Hydroxy-4-(methylthio)butyric_acid,2.24,3935517,0,1599348,-2,Standards_neg
Standards_neg,Std_4uMStdsMix1InH2O_1,2-Hydroxy-4-(methylthio)butyric_acid,2.27,217152592,2903535,61369104,-1.7,Standards_neg
Standards_neg,Std_4uMStdsMix1InH2O_2,2-Hydroxy-4-(methylthio)butyric_acid,2.25,282217600,757177,106722520,-2.2,Standards_neg
Standards_neg,Std_4uMStdsMix1InMatrix_1,2-Hydroxy-4-(methylthio)butyric_acid,2.27,194462720,592299,53797972,-1.4,Standards_neg
Standards_neg,Std_4uMStdsMix1InMatrix_2,2-Hydroxy-4-(methylthio)butyric_acid,2.25,280130656,1250026,101689176,-2.5,Standards_neg
Standards_neg,Std_4uMStdsMix2InH2O_1,2-Hydroxy-4-(methylthio)butyric_acid,2.26,168718,0,52281,-2.4,Standards_neg
Standards_neg,Std_4uMStdsMix2InH2O_2,2-Hydroxy-4-(methylthio)butyric_acid,2.25,268977,0,115476,-1.7,Standards_neg
Standards_neg,Std_4uMStdsMix2InMatrix_1,2-Hydroxy-4-(methylthio)butyric_acid,2.26,3962485,0,1238767,-1.6,Standards_neg
Standards_neg,Std_4uMStdsMix2InMatrix_2,2-Hydroxy-4-(methylthio)butyric_acid,2.25,5272195,0,2139900,-2.3,Standards_neg
Standards_neg,Std_H2OInMatrix_1,2-Hydroxy-4-(methylthio)butyric_acid,2.27,3169287,0,940982,-2.1,Standards_neg
Standards_neg,Std_H2OInMatrix_2,2-Hydroxy-4-(methylthio)butyric_acid,2.25,4325545,0,1753623,-1.7,Standards_neg
Standards_neg,Poo_TruePoo_Full1,3-Sulfopyruvic Acid,15.71,420871,0,47467,1,Standards_neg
Standards_neg,Poo_TruePoo_Full2,3-Sulfopyruvic Acid,15.58,492507,0,53175,0.5,Standards_neg
Standards_neg,Poo_TruePoo_Full3,3-Sulfopyruvic Acid,15.4,415731,0,60376,-0.8,Standards_neg
Standards_neg,Poo_TruePoo_Half1,3-Sulfopyruvic Acid,15.64,217290,0,34495,0.3,Standards_neg
Standards_neg,Poo_TruePoo_Half2,3-Sulfopyruvic Acid,15.55,132263,0,22889,0,Standards_neg
Standards_neg,Poo_TruePoo_Half3,3-Sulfopyruvic Acid,15.44,111216,0,23105,-0.3,Standards_neg
