Compound,Fraction,Sample,Mean EE (%),Standard Deviation of EE (%),EE ANOVA Adjusted P-value,RF ANOVA Adjusted P-value
(3-Carboxypropyl)trimethylammonium,HILIC Pos,Aloha,57.6,13.8,0.438,0.191
(3-Carboxypropyl)trimethylammonium,HILIC Pos,NP,34.4,2.26,0.438,0.191
(3-Carboxypropyl)trimethylammonium,HILIC Pos,PS,52.7,6.12,0.438,0.191
(3-Carboxypropyl)trimethylammonium,HILIC Pos,LW,42.6,14.2,0.438,0.191
(Iso)leucine,HILIC Pos,Aloha,63.9,16.6,0.804,0.571
(Iso)leucine,HILIC Pos,NP,58.3,3.08,0.804,0.571
(Iso)leucine,HILIC Pos,PS,54.6,2.63,0.804,0.571
(Iso)leucine,HILIC Pos,LW,62.0,15.4,0.804,0.571
"3',5'-Cyclic Adenosine Monophosphate",HILIC Neg,Aloha,5.53,0.389,0.975,0.142
"3',5'-Cyclic Adenosine Monophosphate",HILIC Neg,NP,5.68,0.366,0.975,0.142
"3',5'-Cyclic Adenosine Monophosphate",HILIC Neg,PS,6.03,1.42,0.975,0.142
"3',5'-Cyclic Adenosine Monophosphate",HILIC Neg,LW,6.44,5.22,0.975,0.142
4-Aminobutyric acid,HILIC Pos,Aloha,84.4,8.86,0.894,0.959
4-Aminobutyric acid,HILIC Pos,NP,95.3,25.9,0.894,0.959
4-Aminobutyric acid,HILIC Pos,PS,86.7,11.9,0.894,0.959
4-Aminobutyric acid,HILIC Pos,LW,90.4,16.0,0.894,0.959
5-Hydroxyectoine,HILIC Pos,Aloha,55.2,8.00,0.438,0.230
5-Hydroxyectoine,HILIC Pos,NP,44.7,3.24,0.438,0.230
5-Hydroxyectoine,HILIC Pos,PS,47.8,4.64,0.438,0.230
5-Hydroxyectoine,HILIC Pos,LW,41.1,7.56,0.438,0.230
5-Methylcytosine,HILIC Pos,Aloha,23.0,4.46,0.582,0.409
5-Methylcytosine,HILIC Pos,NP,19.0,2.09,0.582,0.409
5-Methylcytosine,HILIC Pos,PS,22.3,1.09,0.582,0.409
5-Methylcytosine,HILIC Pos,LW,19.8,3.62,0.582,0.409
5-Oxoproline,HILIC Neg,Aloha,14.1,5.09,0.582,0.147
5-Oxoproline,HILIC Neg,NP,16.9,1.02,0.582,0.147
5-Oxoproline,HILIC Neg,PS,17.0,10.2,0.582,0.147
5-Oxoproline,HILIC Neg,LW,24.2,7.28,0.582,0.147
Abscisic acid,RP,Aloha,4.51,0.803,0.804,0.685
Abscisic acid,RP,PS,5.02,2.72,0.804,0.685
Adenine,HILIC Pos,Aloha,55.3,13.0,0.638,0.409
Adenine,HILIC Pos,NP,44.0,5.21,0.638,0.409
Adenine,HILIC Pos,PS,47.1,3.06,0.638,0.409
Adenine,HILIC Pos,LW,50.1,11.8,0.638,0.409
Adenosine,HILIC Pos,Aloha,11.9,2.66,0.438,0.409
Adenosine,HILIC Pos,NP,10.1,1.26,0.438,0.409
Adenosine,HILIC Pos,PS,12.0,1.04,0.438,0.409
Adenosine,HILIC Pos,LW,8.46,2.13,0.438,0.409
Adenosine monophosphate,HILIC Neg,Aloha,25.0,2.41,0.438,0.0471
Adenosine monophosphate,HILIC Neg,NP,14.5,3.22,0.438,0.0471
Adenosine monophosphate,HILIC Neg,PS,20.3,5.18,0.438,0.0471
Adenosine monophosphate,HILIC Neg,LW,31.9,12.7,0.438,0.0471
Allopurinol,HILIC Neg,Aloha,56.1,13.1,0.438,0.496
Allopurinol,HILIC Neg,NP,39.1,6.88,0.438,0.496
Allopurinol,HILIC Neg,PS,60.1,10.8,0.438,0.496
Allopurinol,HILIC Neg,LW,28.7,20.7,0.438,0.496
Arsenobetaine,HILIC Pos,Aloha,98.6,17.1,0.582,0.409
Arsenobetaine,HILIC Pos,NP,83.4,5.58,0.582,0.409
Arsenobetaine,HILIC Pos,PS,92.3,4.80,0.582,0.409
Arsenobetaine,HILIC Pos,LW,81.2,14.9,0.582,0.409
beta-Alanine,HILIC Pos,Aloha,83.5,13.7,0.582,0.151
beta-Alanine,HILIC Pos,NP,70.7,6.94,0.582,0.151
beta-Alanine,HILIC Pos,PS,87.4,8.14,0.582,0.151
beta-Alanine,HILIC Pos,LW,86.7,17.4,0.582,0.151
beta-Alaninebetaine,HILIC Pos,Aloha,73.7,11.8,0.519,0.293
beta-Alaninebetaine,HILIC Pos,NP,58.1,1.47,0.519,0.293
beta-Alaninebetaine,HILIC Pos,PS,70.3,7.65,0.519,0.293
beta-Alaninebetaine,HILIC Pos,LW,62.8,11.0,0.519,0.293
beta-Glutamic acid,HILIC Pos,Aloha,56.5,4.24,0.349,0.116
beta-Glutamic acid,HILIC Pos,NP,48.1,4.00,0.349,0.116
beta-Glutamic acid,HILIC Pos,PS,60.2,4.29,0.349,0.116
beta-Glutamic acid,HILIC Pos,LW,46.9,3.22,0.349,0.116
Betonicine,HILIC Pos,Aloha,101.,14.2,0.438,0.363
Betonicine,HILIC Pos,NP,85.3,4.64,0.438,0.363
Betonicine,HILIC Pos,PS,92.8,4.94,0.438,0.363
Betonicine,HILIC Pos,LW,78.2,14.1,0.438,0.363
Butyrylcarnitine,HILIC Pos,Aloha,6.34,1.40,0.792,0.432
Butyrylcarnitine,HILIC Pos,NP,4.24,1.41,0.792,0.432
Butyrylcarnitine,HILIC Pos,PS,5.68,2.37,0.792,0.432
Butyrylcarnitine,HILIC Pos,LW,5.97,3.58,0.792,0.432
Citrulline,HILIC Pos,Aloha,50.9,13.2,0.520,0.116
Citrulline,HILIC Pos,NP,33.1,0.705,0.520,0.116
Citrulline,HILIC Pos,PS,36.9,4.21,0.520,0.116
Citrulline,HILIC Pos,LW,39.9,15.0,0.520,0.116
Creatine,HILIC Pos,Aloha,61.2,8.91,0.349,0.550
Creatine,HILIC Pos,NP,46.7,2.93,0.349,0.550
Creatine,HILIC Pos,PS,53.3,5.76,0.349,0.550
Creatine,HILIC Pos,LW,40.5,7.36,0.349,0.550
Cytidine,HILIC Pos,Aloha,22.9,5.36,0.520,0.409
Cytidine,HILIC Pos,NP,16.4,0.503,0.520,0.409
Cytidine,HILIC Pos,PS,21.5,3.28,0.520,0.409
Cytidine,HILIC Pos,LW,18.8,4.55,0.520,0.409
Cytosine,HILIC Pos,Aloha,34.9,5.35,0.519,0.274
Cytosine,HILIC Pos,NP,29.7,3.71,0.519,0.274
Cytosine,HILIC Pos,PS,31.6,2.17,0.519,0.274
Cytosine,HILIC Pos,LW,27.1,4.97,0.519,0.274
Desthiobiotin,RP,Aloha,79.1,28.6,0.520,0.679
Desthiobiotin,RP,PS,53.1,16.8,0.520,0.679
Dimethylglycine,HILIC Pos,Aloha,75.8,6.33,0.438,0.469
Dimethylglycine,HILIC Pos,NP,56.7,0.752,0.438,0.469
Dimethylglycine,HILIC Pos,PS,67.3,6.71,0.438,0.469
Dimethylglycine,HILIC Pos,LW,60.6,11.0,0.438,0.469
Dimethylsulfonioacetate,HILIC Pos,Aloha,106.,12.5,0.438,0.375
Dimethylsulfonioacetate,HILIC Pos,NP,92.5,3.32,0.438,0.375
Dimethylsulfonioacetate,HILIC Pos,PS,97.2,9.45,0.438,0.375
Dimethylsulfonioacetate,HILIC Pos,LW,83.9,12.7,0.438,0.375
Dimethylsulfoniopropionate,HILIC Pos,Aloha,60.2,9.98,0.617,0.258
Dimethylsulfoniopropionate,HILIC Pos,NP,49.5,4.52,0.617,0.258
Dimethylsulfoniopropionate,HILIC Pos,PS,58.9,9.29,0.617,0.258
Dimethylsulfoniopropionate,HILIC Pos,LW,53.3,9.45,0.617,0.258
Ectoine,HILIC Pos,Aloha,52.0,7.80,0.438,0.825
Ectoine,HILIC Pos,NP,44.3,2.18,0.438,0.825
Ectoine,HILIC Pos,PS,49.4,3.33,0.438,0.825
Ectoine,HILIC Pos,LW,44.8,6.08,0.438,0.825
Glucosamine,HILIC Pos,Aloha,52.9,7.01,0.792,0.116
Glucosamine,HILIC Pos,NP,44.8,3.45,0.792,0.116
Glucosamine,HILIC Pos,PS,50.7,4.15,0.792,0.116
Glucosamine,HILIC Pos,LW,49.2,14.4,0.792,0.116
