Compound,Fraction,Extraction Efficiency (%),RSD of EE (%),R2,LOD (nM)
(3-Carboxypropyl)trimethylammonium,HILIC Pos,57.60803233364362,23.873171978573833,0.9643671211298532,0.01350059387858424
L-Isoleucine,HILIC Pos,63.87656710607318,26.013211942040996,0.9485678481458776,0.288949082870208
Hydroxyisoleucine,HILIC Pos,88.51187589650341,23.24489118971503,0.9155122089651584,0.3082249543096554
5-Methylcytosine,HILIC Pos,22.974958841447236,19.425155956168418,0.962460215967548,0.04941433064776717
N6-Methyladenine,HILIC Pos,19.00055702115061,35.27569699633909,0.916867784608799,0.02486403241437803
Abscisic acid,RP,4.507720518921941,17.812780050768364,0.9250342533918444,0.7737693267827018
Adenine,HILIC Pos,55.28742134199982,23.466116538963508,0.953989153728612,0.2888062279688927
Adenosine,HILIC Pos,11.9409160304621,22.25309834157476,0.9534957366673392,0.17737961307271477
L-Alanine,HILIC Pos,87.78608879028221,19.09407798267644,0.9742219809103556,2.083743877490496
Allopurinol,HILIC Neg,56.08905644879899,23.30406482755102,0.859320471600219,1.4672338605709787
4-Aminobutyric acid,HILIC Pos,84.39751277562418,10.499274417850655,0.934465290186931,0.8362427188772307
Adenosine monophosphate,HILIC Neg,25.03926172928903,9.612207762196098,0.9610761008051568,0.03780656408028197
L-Arginosuccinic acid,HILIC Pos,50.468323400899706,37.92058876917178,0.8302070696898131,0.00846263131042293
Arsenobetaine,HILIC Pos,98.58976051364932,17.35927150456338,0.9919474860031616,0.00170005741986003
L-Asparagine,HILIC Pos,88.29957658372675,15.373026039834748,0.9157421183240364,0.5988262815426485
L-Aspartic acid,HILIC Pos,62.91394358621822,19.142210673862245,0.9634070594769744,3.810661466494632
beta-Alanine,HILIC Pos,83.47570868953369,16.355920475122023,0.9770243711083956,1.43114215789665
beta-Glutamic acid,HILIC Pos,56.469795622691784,7.511721995270798,0.8434157004462397,1.1359538242857583
Glycine betaine,HILIC Pos,121.52816155743209,15.008671324115411,0.9685999458409474,0.48501960323306514
Betonicine,HILIC Pos,100.66006862206856,14.122980230404766,0.9964906210789553,0.00690239493692221
Butyrylcarnitine,HILIC Pos,6.338754954332963,22.13123072206128,0.9297358424341882,0.01116834740760317
"3',5'-Cyclic AMP",HILIC Neg,5.525045078857421,7.03357153620861,0.8862231391503038,0.01104530796732365
Carnosine,HILIC Pos,24.235374414942704,38.25362572627301,0.9030376778331196,0.04331766960026682
Citrulline,HILIC Pos,50.86660201191096,26.019682563544205,0.8567667983765671,1.7519241661301312
Creatine,HILIC Pos,61.16060701750158,14.566774027516216,0.9799876124235084,0.05277646374332293
L-Cystine,HILIC Pos,8.7462753073185,40.07514964111608,0.7440374515291984,2.3152077048222504
Cytidine,HILIC Pos,22.94903017916358,23.358032041212848,0.9701095365640648,0.03790022796518606
Cytosine,HILIC Pos,34.94342610967067,15.299584760682595,0.9685783430462196,0.05860969555471102
Desthiobiotin,RP,79.07761697161715,36.13594163679611,0.7839171430292105,0.0053922640294276
Dimethylglycine,HILIC Pos,75.7756561458376,8.35980510998137,0.9929636148840646,0.8675911820965648
Dimethylsulfonioacetate,HILIC Pos,105.64839203728636,11.822044360117722,0.9959684559881024,1.870046432832116e-4
