Compound,Fraction,Sample,Mean EE (%),Standard Deviation of EE (%)
Hydroxyisoleucine,HILIC Pos,Aloha,45.1,1.22
Hydroxyisoleucine,HILIC Pos,PS,42.8,1.98
N6-Methyladenine,HILIC Pos,Aloha,85.3,8.63
N6-Methyladenine,HILIC Pos,PS,97.0,5.11
O-Acetylcarnitine,HILIC Pos,Aloha,32.5,4.43
O-Acetylcarnitine,HILIC Pos,PS,37.9,1.28
N-Acetyl-L-glutamic acid,HILIC Neg,Aloha,15.6,1.19
N-Acetyl-L-glutamic acid,HILIC Neg,PS,28.1,1.55
cis-Aconitic acid,HILIC Neg,Aloha,3.98,0.494
cis-Aconitic acid,HILIC Neg,PS,9.14,0.690
Adenine,HILIC Pos,Aloha,76.0,13.1
Adenine,HILIC Pos,PS,78.1,18.0
Adenosine,HILIC Pos,Aloha,65.5,1.99
Adenosine,HILIC Pos,PS,72.8,6.11
Allopurinol,HILIC Neg,Aloha,40.3,1.20
Allopurinol,HILIC Neg,PS,62.1,31.9
beta-Glutamic acid,HILIC Pos,Aloha,1.16,0.383
beta-Glutamic acid,HILIC Pos,PS,2.34,0.624
Butyrylcarnitine,HILIC Pos,Aloha,78.3,13.2
Butyrylcarnitine,HILIC Pos,PS,89.8,8.26
Butyrylglycine,HILIC Neg,Aloha,81.2,4.83
Butyrylglycine,HILIC Neg,PS,77.5,4.59
"3',5'-Cyclic Adenosine Monophosphate",HILIC Neg,Aloha,51.3,2.25
"3',5'-Cyclic Adenosine Monophosphate",HILIC Neg,PS,63.0,2.30
Carnitine,HILIC Pos,Aloha,9.56,1.56
Carnitine,HILIC Pos,PS,8.27,0.326
"3',5'-Cyclic Guanosine Monophosphate",HILIC Neg,Aloha,44.2,2.83
"3',5'-Cyclic Guanosine Monophosphate",HILIC Neg,PS,43.8,1.27
"Cys-Gly, oxidized",HILIC Pos,Aloha,2.42,0.278
"Cys-Gly, oxidized",HILIC Pos,PS,2.05,0.755
Ethyl dihydroxybenzoate,HILIC Neg,Aloha,19.3,12.5
Ethyl dihydroxybenzoate,HILIC Neg,PS,27.3,3.15
Glutamylphenylalanine,HILIC Pos,Aloha,80.5,6.17
Glutamylphenylalanine,HILIC Pos,PS,93.5,12.0
Glutathione disulfide,HILIC Pos,Aloha,55.9,19.4
Glutathione disulfide,HILIC Pos,PS,68.9,3.36
Gonyol,HILIC Pos,Aloha,3.51,0.330
Gonyol,HILIC Pos,PS,2.48,0.101
Guanine,HILIC Pos,Aloha,20.2,9.50
Guanine,HILIC Pos,PS,12.8,5.24
Guanosine,HILIC Pos,Aloha,60.0,7.09
Guanosine,HILIC Pos,PS,74.4,8.60
Hordenine,HILIC Pos,Aloha,112.,13.2
Hordenine,HILIC Pos,PS,132.,7.03
Inosine,HILIC Neg,Aloha,127.,14.7
Inosine,HILIC Neg,PS,130.,8.13
(Iso)leucine,HILIC Pos,Aloha,53.7,0.591
(Iso)leucine,HILIC Pos,PS,62.7,2.14
5-Oxoproline,HILIC Neg,Aloha,9.06,2.54
5-Oxoproline,HILIC Neg,PS,14.7,1.07
Melamine,HILIC Pos,Aloha,2.64,0.118
Melamine,HILIC Pos,PS,3.05,0.273
L-Methionine,HILIC Pos,Aloha,4.65,0.298
L-Methionine,HILIC Pos,PS,5.44,1.43
O-Methylmalonyl-L-carnitine,HILIC Pos,Aloha,128.,5.32
O-Methylmalonyl-L-carnitine,HILIC Pos,PS,136.,10.1
N-Acetylmuramic acid,HILIC Pos,Aloha,54.4,4.54
N-Acetylmuramic acid,HILIC Pos,PS,66.9,8.51
Ophthalmic acid,HILIC Pos,Aloha,18.4,0.659
Ophthalmic acid,HILIC Pos,PS,29.8,2.41
O-Propionylcarnitine,HILIC Pos,Aloha,83.6,11.2
O-Propionylcarnitine,HILIC Pos,PS,92.0,5.96
Propionylglycine,HILIC Neg,Aloha,25.5,1.74
Propionylglycine,HILIC Neg,PS,30.6,1.19
"2,5-Dihydroxybenzoic acid",HILIC Neg,Aloha,105.,12.0
"2,5-Dihydroxybenzoic acid",HILIC Neg,PS,87.3,29.2
Riboflavin-5-phosphate,HILIC Pos,Aloha,32.7,16.2
Riboflavin-5-phosphate,HILIC Pos,PS,39.1,17.0
Salicylic acid,HILIC Neg,Aloha,23.0,19.6
Salicylic acid,HILIC Neg,PS,31.7,0.780
